iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -2969.25 0 0 0 4.57812 0 0 9.50266 0 0 0 0 0 -0.244182 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -127.596 0 0 0 -1.33956 100 58 1.79646 100 28 0 0 0 -2.23459 100 34 0 0 0 0 0 0 0 0 0 0 0
200 -127.637 0 0 0 0.536416 100 60 -0.108985 100 31 0 0 0 -2.32982 100 26 0 0 0 0 0 0 0 0 0 0 0
300 -124.649 0 0 0 -0.186956 100 69 2.58712 100 26 0 0 0 -2.71822 100 31 0 0 0 0 0 0 0 0 0 0 0
400 -127.024 0 0 0 0.802873 100 59 6.26099 100 28 0 0 0 -3.36145 100 36 0 0 0 0 0 0 0 0 0 0 0
500 -127.023 0 0 0 -0.765278 100 58 -3.9639 100 30 0 0 0 -2.31862 100 24 0 0 0 0 0 0 0 0 0 0 0
600 -125.086 0 0 0 -1.18378 100 58 2.41459 100 25 0 0 0 -2.71798 100 30 0 0 0 0 0 0 0 0 0 0 0
700 -125.069 0 0 0 0.196226 100 62 3.79446 100 27 0 0 0 -2.94324 100 30 0 0 0 0 0 0 0 0 0 0 0
800 -126.997 0 0 0 0.496474 100 56 5.19921 100 21 0 0 0 -2.97669 100 24 0 0 0 0 0 0 0 0 0 0 0
900 -126.653 0 0 0 -1.54383 100 67 1.45765 100 20 0 0 0 -2.99849 100 28 0 0 0 0 0 0 0 0 0 0 0
1000 -125.734 0 0 0 -0.565588 100 59 3.86806 100 35 0 0 0 -3.20068 100 29 0 0 0 0 0 0 0 0 0 0 0
1100 -125.065 0 0 0 -1.23016 100 60 0.370013 100 39 0 0 0 -2.34101 100 30 0 0 0 0 0 0 0 0 0 0 0
1200 -125.169 0 0 0 -1.31718 100 57 2.24227 100 21 0 0 0 -2.73421 100 26 0 0 0 0 0 0 0 0 0 0 0
1300 -126.463 0 0 0 -0.905029 100 57 -3.43776 100 23 0 0 0 -2.32791 100 28 0 0 0 0 0 0 0 0 0 0 0
1400 -124.313 0 0 0 -0.117928 100 66 1.10172 100 26 0 0 0 -2.69547 100 32 0 0 0 0 0 0 0 0 0 0 0
1500 -125.192 0 0 0 -0.735354 100 58 1.74392 100 31 0 0 0 -2.97937 100 31 0 0 0 0 0 0 0 0 0 0 0
1600 -125.845 0 0 0 -1.90391 100 60 0.626613 100 26 0 0 0 -2.37178 100 33 0 0 0 0 0 0 0 0 0 0 0
1700 -125.118 0 0 0 -0.0610929 100 61 -0.785203 100 26 0 0 0 -2.43472 100 34 0 0 0 0 0 0 0 0 0 0 0
1800 -125.147 0 0 0 -0.352979 100 59 3.96239 100 25 0 0 0 -3.03404 100 35 0 0 0 0 0 0 0 0 0 0 0
1900 -125.866 0 0 0 0.757397 100 64 4.58158 100 34 0 0 0 -3.33759 100 38 0 0 0 0 0 0 0 0 0 0 0
2000 -126.194 0 0 0 -2.01792 100 68 1.44149 100 25 0 0 0 -2.46914 100 18 0 0 0 0 0 0 0 0 0 0 0
2100 -125.712 0 0 0 0.278306 100 54 1.78876 100 37 0 0 0 -3.1548 100 26 0 0 0 0 0 0 0 0 0 0 0
2200 -126.648 0 0 0 -1.46488 100 65 -3.58788 100 28 0 0 0 -2.15398 100 38 0 0 0 0 0 0 0 0 0 0 0
2300 -125.107 0 0 0 -0.186197 100 49 2.21226 100 31 0 0 0 -2.56308 100 29 0 0 0 0 0 0 0 0 0 0 0
2400 -124.644 0 0 0 -1.04742 100 65 0.0545954 100 26 0 0 0 -2.58951 100 42 0 0 0 0 0 0 0 0 0 0 0
2500 -125.133 0 0 0 -1.38669 100 69 1.88865 100 21 0 0 0 -2.65417 100 28 0 0 0 0 0 0 0 0 0 0 0
2600 -125.371 0 0 0 -1.65738 100 57 0.366541 100 32 0 0 0 -2.37796 100 38 0 0 0 0 0 0 0 0 0 0 0
2700 -124.954 0 0 0 -0.306449 100 51 3.65064 100 28 0 0 0 -3.03301 100 33 0 0 0 0 0 0 0 0 0 0 0
2800 -124.599 0 0 0 0.197336 100 54 2.37687 100 22 0 0 0 -2.95526 100 30 0 0 0 0 0 0 0 0 0 0 0
2900 -126.756 0 0 0 0.620942 100 61 1.27107 100 22 0 0 0 -3.21517 100 30 0 0 0 0 0 0 0 0 0 0 0
3000 -126.448 0 0 0 -2.36056 100 59 -0.872563 100 23 0 0 0 -2.35162 100 27 0 0 0 0 0 0 0 0 0 0 0
3100 -125.996 0 0 0 -0.915228 100 59 2.16868 100 25 0 0 0 -2.42053 100 35 0 0 0 0 0 0 0 0 0 0 0
3200 -124.674 0 0 0 -0.255599 100 61 2.34165 100 26 0 0 0 -2.65833 100 23 0 0 0 0 0 0 0 0 0 0 0
3300 -124.965 0 0 0 0.0490268 100 59 1.14642 100 32 0 0 0 -2.95054 100 45 0 0 0 0 0 0 0 0 0 0 0
3400 -126.148 0 0 0 -0.320885 100 62 -2.79746 100 25 0 0 0 -2.37354 100 25 0 0 0 0 0 0 0 0 0 0 0
3500 -124.817 0 0 0 -0.772787 100 54 0.463764 100 33 0 0 0 -2.3655 100 36 0 0 0 0 0 0 0 0 0 0 0
3600 -124.76 0 0 0 -0.0103865 100 66 -0.120428 100 26 0 0 0 -2.64426 100 29 0 0 0 0 0 0 0 0 0 0 0
3700 -124.586 0 0 0 0.124782 100 73 2.76624 100 24 0 0 0 -2.97079 100 24 0 0 0 0 0 0 0 0 0 0 0
3800 -124.631 0 0 0 -0.792957 100 66 1.89278 100 26 0 0 0 -2.83632 100 28 0 0 0 0 0 0 0 0 0 0 0
3900 -125.24 0 0 0 -0.738952 100 58 -0.28497 100 20 0 0 0 -2.76215 100 28 0 0 0 0 0 0 0 0 0 0 0
4000 -124.43 0 0 0 -0.351785 100 60 -0.0103313 100 24 0 0 0 -2.5344 100 26 0 0 0 0 0 0 0 0 0 0 0
4100 -125.069 0 0 0 -0.650792 100 57 1.79913 100 27 0 0 0 -2.48005 100 22 0 0 0 0 0 0 0 0 0 0 0
4200 -124.736 0 0 0 0.028 100 60 2.69154 100 29 0 0 0 -2.74903 100 28 0 0 0 0 0 0 0 0 0 0 0
4300 -127.163 0 0 0 -2.65368 100 68 1.07476 100 23 0 0 0 -2.62424 100 28 0 0 0 0 0 0 0 0 0 0 0
4400 -125.715 0 0 0 -1.89014 100 59 -0.944905 100 30 0 0 0 -2.30248 100 26 0 0 0 0 0 0 0 0 0 0 0
4500 -124.617 0 0 0 0.278899 100 56 2.13984 100 33 0 0 0 -2.90489 100 26 0 0 0 0 0 0 0 0 0 0 0
4600 -124.338 0 0 0 -0.197378 100 65 1.67726 100 29 0 0 0 -2.67236 100 37 0 0 0 0 0 0 0 0 0 0 0
4700 -125.272 0 0 0 -0.126148 100 62 4.2969 100 17 0 0 0 -3.04315 100 22 0 0 0 0 0 0 0 0 0 0 0
4800 -126.005 0 0 0 -1.48094 100 58 -2.17508 100 27 0 0 0 -2.43496 100 25 0 0 0 0 0 0 0 0 0 0 0
4900 -125.899 0 0 0 -0.0393206 100 60 2.93892 100 32 0 0 0 -3.27824 100 26 0 0 0 0 0 0 0 0 0 0 0
5000 -124.87 0 0 0 -0.898897 100 53 -0.416869 100 32 0 0 0 -2.30243 100 27 0 0 0 0 0 0 0 0 0 0 0
5100 -125.586 0 0 0 -1.28905 100 67 -0.874613 100 35 0 0 0 -2.63483 100 37 0 0 0 0 0 0 0 0 0 0 0
5200 -126.456 0 0 0 -2.03473 100 74 1.91168 100 36 0 0 0 -2.51089 100 32 0 0 0 0 0 0 0 0 0 0 0
5300 -126.063 0 0 0 -1.43939 100 66 -1.82227 100 33 0 0 0 -2.53294 100 31 0 0 0 0 0 0 0 0 0 0 0
5400 -127.32 0 0 0 -1.49981 100 55 -2.19668 100 28 0 0 0 -1.90674 100 23 0 0 0 0 0 0 0 0 0 0 0
5500 -126.546 0 0 0 0.240001 100 68 0.668978 100 36 0 0 0 -3.13095 100 30 0 0 0 0 0 0 0 0 0 0 0
5600 -124.56 0 0 0 -0.29487 100 53 2.22842 100 38 0 0 0 -2.94377 100 28 0 0 0 0 0 0 0 0 0 0 0
5700 -124.465 0 0 0 -0.179357 100 49 1.60301 100 16 0 0 0 -2.87793 100 32 0 0 0 0 0 0 0 0 0 0 0
5800 -125.576 0 0 0 0.367535 100 64 4.19998 100 30 0 0 0 -2.94805 100 36 0 0 0 0 0 0 0 0 0 0 0
5900 -125.002 0 0 0 0.15795 100 69 2.60602 100 29 0 0 0 -2.70475 100 27 0 0 0 0 0 0 0 0 0 0 0
6000 -125.095 0 0 0 0.41603 100 60 2.63832 100 26 0 0 0 -3.11041 100 30 0 0 0 0 0 0 0 0 0 0 0
6100 -124.985 0 0 0 -0.318101 100 59 0.273137 100 29 0 0 0 -2.83414 100 27 0 0 0 0 0 0 0 0 0 0 0
6200 -127.465 0 0 0 0.690543 100 56 4.159 100 34 0 0 0 -3.61046 100 29 0 0 0 0 0 0 0 0 0 0 0
6300 -127.388 0 0 0 0.333396 100 61 6.5767 100 40 0 0 0 -3.33476 100 41 0 0 0 0 0 0 0 0 0 0 0
6400 -127.96 0 0 0 -1.54916 100 61 4.38233 100 31 0 0 0 -3.30719 100 31 0 0 0 0 0 0 0 0 0 0 0
6500 -126.04 0 0 0 0.0909507 100 62 -1.82603 100 22 0 0 0 -2.40643 100 32 0 0 0 0 0 0 0 0 0 0 0
6600 -128.912 0 0 0 -0.161847 100 59 5.45966 100 36 0 0 0 -2.80183 100 30 0 0 0 0 0 0 0 0 0 0 0
6700 -125.098 0 0 0 -1.2027 100 61 0.000659515 100 28 0 0 0 -2.29742 100 31 0 0 0 0 0 0 0 0 0 0 0
6800 -124.308 0 0 0 -0.128763 100 59 1.08965 100 26 0 0 0 -2.70028 100 40 0 0 0 0 0 0 0 0 0 0 0
6900 -126.576 0 0 0 -0.683042 100 66 -3.61253 100 27 0 0 0 -2.26427 100 31 0 0 0 0 0 0 0 0 0 0 0
7000 -124.673 0 0 0 -0.161033 100 65 0.9762 100 20 0 0 0 -2.50694 100 27 0 0 0 0 0 0 0 0 0 0 0
7100 -125.747 0 0 0 -0.229219 100 66 4.26747 100 20 0 0 0 -2.87303 100 23 0 0 0 0 0 0 0 0 0 0 0
7200 -127.16 0 0 0 -2.22539 100 58 -3.03471 100 25 0 0 0 -2.11093 100 27 0 0 0 0 0 0 0 0 0 0 0
7300 -126.481 0 0 0 0.340882 100 65 2.67667 100 27 0 0 0 -3.3547 100 38 0 0 0 0 0 0 0 0 0 0 0
7400 -124.718 0 0 0 -0.255426 100 56 3.21492 100 28 0 0 0 -2.99133 100 22 0 0 0 0 0 0 0 0 0 0 0
7500 -125.048 0 0 0 -0.853652 100 68 -1.51159 100 22 0 0 0 -2.45337 100 26 0 0 0 0 0 0 0 0 0 0 0
7600 -124.747 0 0 0 -0.0736884 100 58 3.44873 100 26 0 0 0 -2.95678 100 25 0 0 0 0 0 0 0 0 0 0 0
