iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -4.52382e+09 0 0 0 -2.22309 0 0 -11.9204 0 0 0 0 0 17.4455 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -87.3169 0 0 0 0.539249 100 72 6.31909 100 40 0 0 0 -3.54928 100 36 0 0 0 0 0 0 0 0 0 0 0
200 -87.4045 0 0 0 1.72068 100 67 7.14175 100 32 0 0 0 -3.75258 100 26 0 0 0 0 0 0 0 0 0 0 0
300 -89.7207 0 0 0 0.163935 100 71 7.08732 100 27 0 0 0 -4.17251 100 45 0 0 0 0 0 0 0 0 0 0 0
400 -87.9107 0 0 0 0.382314 100 67 4.85024 100 18 0 0 0 -3.52488 100 33 0 0 0 0 0 0 0 0 0 0 0
500 -88.1847 0 0 0 0.450258 100 61 5.91348 100 27 0 0 0 -3.79152 100 42 0 0 0 0 0 0 0 0 0 0 0
600 -90.7283 0 0 0 -2.07642 100 67 2.26035 100 33 0 0 0 -2.79449 100 38 0 0 0 0 0 0 0 0 0 0 0
700 -88.5251 0 0 0 1.12144 100 73 3.35432 100 29 0 0 0 -3.05871 100 28 0 0 0 0 0 0 0 0 0 0 0
800 -87.4445 0 0 0 0.601973 100 67 7.27383 100 39 0 0 0 -3.59153 100 29 0 0 0 0 0 0 0 0 0 0 0
900 -90.0829 0 0 0 -0.988692 100 64 1.61369 100 28 0 0 0 -2.99951 100 31 0 0 0 0 0 0 0 0 0 0 0
1000 -88.394 0 0 0 2.16536 100 67 6.10746 100 26 0 0 0 -3.81756 100 34 0 0 0 0 0 0 0 0 0 0 0
1100 -87.4297 0 0 0 0.565032 100 62 5.8291 100 25 0 0 0 -3.57248 100 33 0 0 0 0 0 0 0 0 0 0 0
1200 -87.9285 0 0 0 0.228859 100 60 7.26034 100 34 0 0 0 -3.84365 100 39 0 0 0 0 0 0 0 0 0 0 0
1300 -87.3309 0 0 0 1.40178 100 63 8.06261 100 34 0 0 0 -3.91414 100 38 0 0 0 0 0 0 0 0 0 0 0
1400 -88.907 0 0 0 1.60026 100 77 3.99941 100 20 0 0 0 -3.57088 100 37 0 0 0 0 0 0 0 0 0 0 0
1500 -89.1917 0 0 0 -1.24089 100 69 4.50009 100 31 0 0 0 -2.99786 100 37 0 0 0 0 0 0 0 0 0 0 0
1600 -87.8291 0 0 0 0.713737 100 70 8.6634 100 20 0 0 0 -3.82666 100 39 0 0 0 0 0 0 0 0 0 0 0
1700 -93.3954 0 0 0 -0.268899 100 67 -0.427717 100 25 0 0 0 -2.16988 100 38 0 0 0 0 0 0 0 0 0 0 0
1800 -87.933 0 0 0 0.479153 100 63 7.42457 100 28 0 0 0 -3.46698 100 42 0 0 0 0 0 0 0 0 0 0 0
1900 -89.026 0 0 0 -0.0189309 100 60 2.51057 100 27 0 0 0 -3.2044 100 39 0 0 0 0 0 0 0 0 0 0 0
2000 -88.3461 0 0 0 -0.579384 100 71 6.82383 100 22 0 0 0 -3.54143 100 35 0 0 0 0 0 0 0 0 0 0 0
2100 -88.1758 0 0 0 0.322565 100 71 7.13787 100 26 0 0 0 -3.92929 100 38 0 0 0 0 0 0 0 0 0 0 0
2200 -87.9412 0 0 0 1.58268 100 72 6.19059 100 25 0 0 0 -3.37918 100 36 0 0 0 0 0 0 0 0 0 0 0
2300 -87.9556 0 0 0 0.222142 100 64 7.91947 100 22 0 0 0 -3.65522 100 32 0 0 0 0 0 0 0 0 0 0 0
2400 -89.0279 0 0 0 0.157729 100 69 6.96367 100 27 0 0 0 -4.04541 100 47 0 0 0 0 0 0 0 0 0 0 0
2500 -88.1135 0 0 0 -0.352471 100 71 4.1805 100 27 0 0 0 -3.20854 100 39 0 0 0 0 0 0 0 0 0 0 0
2600 -88.2123 0 0 0 0.0175274 100 66 5.99274 100 33 0 0 0 -3.71964 100 41 0 0 0 0 0 0 0 0 0 0 0
