iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -14310.8 0 0 0 4.11082 0 0 -1.52426 0 0 0 0 0 1.00535 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -253.591 0 0 0 0.952287 100 31 3.48733 100 26 0 0 0 -2.71121 100 26 0 0 0 0 0 0 0 0 0 0 0
200 -253.915 0 0 0 0.793312 100 26 0.519949 100 29 0 0 0 -2.4961 100 17 0 0 0 0 0 0 0 0 0 0 0
300 -253.489 0 0 0 1.27632 100 27 2.72122 100 17 0 0 0 -2.97538 100 21 0 0 0 0 0 0 0 0 0 0 0
400 -253.464 0 0 0 2.05593 100 24 4.81751 100 42 0 0 0 -3.35161 100 26 0 0 0 0 0 0 0 0 0 0 0
500 -253.309 0 0 0 1.26436 100 29 4.56585 100 19 0 0 0 -2.91934 100 25 0 0 0 0 0 0 0 0 0 0 0
600 -253.592 0 0 0 1.21984 100 17 1.8424 100 21 0 0 0 -2.58589 100 26 0 0 0 0 0 0 0 0 0 0 0
700 -256.312 0 0 0 2.59374 100 21 4.74324 100 23 0 0 0 -3.68141 100 18 0 0 0 0 0 0 0 0 0 0 0
800 -252.903 0 0 0 1.32747 100 26 2.76695 100 24 0 0 0 -2.90516 100 26 0 0 0 0 0 0 0 0 0 0 0
900 -254.242 0 0 0 1.74325 100 30 3.11298 100 23 0 0 0 -3.25862 100 20 0 0 0 0 0 0 0 0 0 0 0
1000 -254.262 0 0 0 1.47459 100 27 5.99973 100 22 0 0 0 -3.20229 100 22 0 0 0 0 0 0 0 0 0 0 0
1100 -254.18 0 0 0 1.2966 100 23 1.68851 100 27 0 0 0 -2.57146 100 26 0 0 0 0 0 0 0 0 0 0 0
1200 -254.957 0 0 0 0.489949 100 26 0.00200147 100 28 0 0 0 -2.21228 100 19 0 0 0 0 0 0 0 0 0 0 0
1300 -254.427 0 0 0 1.93423 100 29 3.72627 100 22 0 0 0 -3.02161 100 18 0 0 0 0 0 0 0 0 0 0 0
1400 -253.337 0 0 0 1.5423 100 26 4.4393 100 26 0 0 0 -3.19121 100 26 0 0 0 0 0 0 0 0 0 0 0
1500 -255.852 0 0 0 0.461066 100 27 0.506394 100 25 0 0 0 -2.52493 100 28 0 0 0 0 0 0 0 0 0 0 0
1600 -253.451 0 0 0 1.82664 100 24 4.61477 100 24 0 0 0 -3.05095 100 22 0 0 0 0 0 0 0 0 0 0 0
1700 -255.434 0 0 0 0.536549 100 23 2.74861 100 19 0 0 0 -2.59853 100 16 0 0 0 0 0 0 0 0 0 0 0
1800 -253.647 0 0 0 1.19942 100 24 4.62412 100 22 0 0 0 -2.95114 100 26 0 0 0 0 0 0 0 0 0 0 0
1900 -254.922 0 0 0 0.646429 100 28 3.12654 100 28 0 0 0 -2.50149 100 26 0 0 0 0 0 0 0 0 0 0 0
2000 -253.688 0 0 0 1.74083 100 23 2.99878 100 20 0 0 0 -3.16443 100 18 0 0 0 0 0 0 0 0 0 0 0
2100 -253.209 0 0 0 1.52205 100 26 2.49817 100 20 0 0 0 -2.96982 100 19 0 0 0 0 0 0 0 0 0 0 0
2200 -257.508 0 0 0 2.80182 100 31 10.2276 100 22 0 0 0 -4.16915 100 31 0 0 0 0 0 0 0 0 0 0 0
2300 -253.692 0 0 0 1.89516 100 21 3.99798 100 25 0 0 0 -3.31924 100 26 0 0 0 0 0 0 0 0 0 0 0
2400 -252.795 0 0 0 1.50005 100 25 3.14378 100 25 0 0 0 -2.95814 100 21 0 0 0 0 0 0 0 0 0 0 0
2500 -253.733 0 0 0 1.54286 100 26 2.70437 100 21 0 0 0 -2.77656 100 19 0 0 0 0 0 0 0 0 0 0 0
2600 -252.822 0 0 0 1.67971 100 24 4.76635 100 19 0 0 0 -3.1202 100 19 0 0 0 0 0 0 0 0 0 0 0
2700 -254.333 0 0 0 2.11745 100 28 5.98855 100 25 0 0 0 -3.6139 100 19 0 0 0 0 0 0 0 0 0 0 0
2800 -253.313 0 0 0 1.12569 100 24 3.00079 100 29 0 0 0 -2.62337 100 28 0 0 0 0 0 0 0 0 0 0 0
2900 -253.098 0 0 0 1.23177 100 16 2.65264 100 29 0 0 0 -2.88946 100 15 0 0 0 0 0 0 0 0 0 0 0
3000 -253.18 0 0 0 1.43626 100 33 3.13733 100 24 0 0 0 -3.04083 100 17 0 0 0 0 0 0 0 0 0 0 0
3100 -254.99 0 0 0 2.62411 100 29 7.40284 100 26 0 0 0 -3.72776 100 23 0 0 0 0 0 0 0 0 0 0 0
3200 -253.523 0 0 0 1.38515 100 27 4.02331 100 18 0 0 0 -3.11293 100 25 0 0 0 0 0 0 0 0 0 0 0
3300 -253.076 0 0 0 1.13597 100 34 2.29394 100 18 0 0 0 -2.79499 100 18 0 0 0 0 0 0 0 0 0 0 0
3400 -254.236 0 0 0 1.5219 100 22 4.66274 100 25 0 0 0 -2.81833 100 25 0 0 0 0 0 0 0 0 0 0 0
3500 -253.389 0 0 0 1.16732 100 25 3.57253 100 29 0 0 0 -2.6803 100 20 0 0 0 0 0 0 0 0 0 0 0
3600 -253.14 0 0 0 0.971932 100 21 1.97874 100 26 0 0 0 -2.63499 100 16 0 0 0 0 0 0 0 0 0 0 0
3700 -253.238 0 0 0 1.89794 100 24 5.40451 100 27 0 0 0 -3.35463 100 24 0 0 0 0 0 0 0 0 0 0 0
3800 -254.216 0 0 0 1.77983 100 23 3.54262 100 19 0 0 0 -3.31315 100 23 0 0 0 0 0 0 0 0 0 0 0
3900 -253.984 0 0 0 0.843116 100 28 2.9302 100 24 0 0 0 -2.73359 100 20 0 0 0 0 0 0 0 0 0 0 0
4000 -252.968 0 0 0 1.41949 100 22 3.84847 100 30 0 0 0 -2.83773 100 18 0 0 0 0 0 0 0 0 0 0 0
4100 -253.02 0 0 0 1.66706 100 27 4.50209 100 28 0 0 0 -3.20121 100 23 0 0 0 0 0 0 0 0 0 0 0
4200 -253.96 0 0 0 2.09705 100 22 7.01766 100 25 0 0 0 -3.49649 100 20 0 0 0 0 0 0 0 0 0 0 0
4300 -255.486 0 0 0 1.85991 100 29 1.63716 100 24 0 0 0 -3.00547 100 21 0 0 0 0 0 0 0 0 0 0 0
4400 -254.563 0 0 0 1.8913 100 36 2.44694 100 25 0 0 0 -3.14474 100 15 0 0 0 0 0 0 0 0 0 0 0
4500 -253.979 0 0 0 1.75731 100 28 2.43669 100 25 0 0 0 -3.08146 100 23 0 0 0 0 0 0 0 0 0 0 0
4600 -254.084 0 0 0 1.11467 100 20 4.10059 100 31 0 0 0 -2.98651 100 30 0 0 0 0 0 0 0 0 0 0 0
4700 -254.205 0 0 0 0.848931 100 27 0.0581717 100 21 0 0 0 -2.4069 100 21 0 0 0 0 0 0 0 0 0 0 0
4800 -254.144 0 0 0 0.633639 100 33 0.976113 100 29 0 0 0 -2.35274 100 24 0 0 0 0 0 0 0 0 0 0 0
4900 -253.499 0 0 0 1.80643 100 29 4.29242 100 28 0 0 0 -3.01714 100 18 0 0 0 0 0 0 0 0 0 0 0
5000 -253.387 0 0 0 1.39626 100 21 4.78437 100 22 0 0 0 -2.89498 100 18 0 0 0 0 0 0 0 0 0 0 0
5100 -253.186 0 0 0 1.65449 100 22 5.05972 100 23 0 0 0 -3.23601 100 17 0 0 0 0 0 0 0 0 0 0 0
