iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -698.528 0 0 0 5.0387 0 0 11.5804 0 0 0 0 0 -11.2556 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -344.34 0 0 0 8.22643 100 27 26.6738 100 19 0 0 0 -8.57352 100 21 0 0 0 0 0 0 0 0 0 7400 6043
200 -342.596 0 0 0 7.67405 100 19 24.3856 100 21 0 0 0 -7.76695 100 15 0 0 0 0 0 0 0 0 0 7400 6120
300 -339.411 0 0 0 6.5919 100 19 19.333 100 21 0 0 0 -6.78826 100 25 0 0 0 0 0 0 0 0 0 7400 6096
400 -335.858 0 0 0 5.49367 100 25 19.2634 100 15 0 0 0 -6.33455 100 19 0 0 0 0 0 0 0 0 0 7400 6262
500 -331.381 0 0 0 5.13192 100 18 18.9343 100 23 0 0 0 -5.875 100 16 0 0 0 0 0 0 0 0 0 7400 6254
600 -333.462 0 0 0 5.00428 100 22 15.0233 100 20 0 0 0 -5.73896 100 24 0 0 0 0 0 0 0 0 0 7400 6314
700 -324.755 0 0 0 2.9359 100 21 10.0399 100 26 0 0 0 -3.92137 100 17 0 0 0 0 0 0 0 0 0 7400 6537
800 -325.634 0 0 0 2.20168 100 23 8.98286 100 21 0 0 0 -3.49721 100 17 0 0 0 0 0 0 0 0 0 7400 6577
900 -326.002 0 0 0 1.85941 100 22 6.58662 100 21 0 0 0 -3.02574 100 18 0 0 0 0 0 0 0 0 0 7400 6660
1000 -324.523 0 0 0 2.73404 100 23 7.70249 100 20 0 0 0 -3.62601 100 16 0 0 0 0 0 0 0 0 0 7400 6654
1100 -323.132 0 0 0 2.24046 100 21 10.0017 100 15 0 0 0 -3.68837 100 12 0 0 0 0 0 0 0 0 0 7400 6661
1200 -326.146 0 0 0 1.97569 100 18 6.28934 100 27 0 0 0 -3.08437 100 19 0 0 0 0 0 0 0 0 0 7400 6670
1300 -327.862 0 0 0 2.29378 100 18 7.00403 100 16 0 0 0 -3.17094 100 15 0 0 0 0 0 0 0 0 0 7400 6722
1400 -325.802 0 0 0 2.10741 100 19 8.30943 100 22 0 0 0 -3.14912 100 16 0 0 0 0 0 0 0 0 0 7400 6661
1500 -322.692 0 0 0 1.62861 100 21 7.34008 100 23 0 0 0 -3.16192 100 27 0 0 0 0 0 0 0 0 0 7400 6760
1600 -326.146 0 0 0 1.42036 100 21 5.67518 100 21 0 0 0 -2.84614 100 20 0 0 0 0 0 0 0 0 0 7400 6714
1700 -324.267 0 0 0 1.65475 100 21 5.26926 100 18 0 0 0 -2.89331 100 22 0 0 0 0 0 0 0 0 0 7400 6669
1800 -324.142 0 0 0 1.69027 100 19 5.07706 100 22 0 0 0 -2.86981 100 22 0 0 0 0 0 0 0 0 0 7400 6733
1900 -321.758 0 0 0 2.44916 100 18 8.95392 100 21 0 0 0 -3.61156 100 19 0 0 0 0 0 0 0 0 0 7400 6699
2000 -333.375 0 0 0 4.04693 100 19 11.6858 100 18 0 0 0 -4.62171 100 14 0 0 0 0 0 0 0 0 0 7400 6565
2100 -324.572 0 0 0 1.68547 100 19 6.53958 100 24 0 0 0 -3.2461 100 13 0 0 0 0 0 0 0 0 0 7400 6589
2200 -325.385 0 0 0 1.8007 100 23 6.71469 100 23 0 0 0 -3.1623 100 15 0 0 0 0 0 0 0 0 0 7400 6678
2300 -326.447 0 0 0 0.930608 100 13 0.0495572 100 23 0 0 0 -2.43634 100 21 0 0 0 0 0 0 0 0 0 7400 6778
2400 -328.545 0 0 0 2.37322 100 21 8.63864 100 30 0 0 0 -3.39926 100 19 0 0 0 0 0 0 0 0 0 7400 6724
2500 -324.217 0 0 0 2.10484 100 19 6.20673 100 23 0 0 0 -3.36548 100 18 0 0 0 0 0 0 0 0 0 7400 6684
2600 -322.209 0 0 0 2.09247 100 19 7.31397 100 21 0 0 0 -3.42839 100 14 0 0 0 0 0 0 0 0 0 7400 6740
2700 -326.253 0 0 0 2.21028 100 25 5.02884 100 26 0 0 0 -3.43996 100 18 0 0 0 0 0 0 0 0 0 7400 6599
2800 -323.291 0 0 0 1.6839 100 13 3.13526 100 25 0 0 0 -2.89098 100 26 0 0 0 0 0 0 0 0 0 7400 6729
2900 -328.579 0 0 0 2.28671 100 21 8.94778 100 28 0 0 0 -3.75677 100 16 0 0 0 0 0 0 0 0 0 7400 6645
3000 -324.852 0 0 0 2.5072 100 18 8.483 100 24 0 0 0 -3.62241 100 16 0 0 0 0 0 0 0 0 0 7400 6605
3100 -326.14 0 0 0 1.80071 100 18 5.33068 100 16 0 0 0 -3.29557 100 16 0 0 0 0 0 0 0 0 0 7400 6633
3200 -325.276 0 0 0 1.37807 100 20 4.89488 100 25 0 0 0 -3.01919 100 16 0 0 0 0 0 0 0 0 0 7400 6745
3300 -327.913 0 0 0 2.00265 100 20 6.18472 100 20 0 0 0 -3.15557 100 19 0 0 0 0 0 0 0 0 0 7400 6754
3400 -324.733 0 0 0 1.62956 100 19 3.63436 100 18 0 0 0 -3.02674 100 23 0 0 0 0 0 0 0 0 0 7400 6707
3500 -324.011 0 0 0 1.38046 100 19 4.29556 100 23 0 0 0 -2.87613 100 12 0 0 0 0 0 0 0 0 0 7400 6732
3600 -324.626 0 0 0 1.65478 100 24 5.44261 100 23 0 0 0 -3.02354 100 13 0 0 0 0 0 0 0 0 0 7400 6632
3700 -326.433 0 0 0 1.98305 100 18 7.1756 100 29 0 0 0 -3.34207 100 12 0 0 0 0 0 0 0 0 0 7400 6690
3800 -326.187 0 0 0 2.398 100 26 7.15022 100 24 0 0 0 -3.39916 100 14 0 0 0 0 0 0 0 0 0 7400 6687
3900 -326.167 0 0 0 3.58916 100 17 13.7046 100 17 0 0 0 -4.49449 100 15 0 0 0 0 0 0 0 0 0 7400 6596
4000 -322.562 0 0 0 2.14013 100 19 4.98905 100 28 0 0 0 -3.25746 100 25 0 0 0 0 0 0 0 0 0 7400 6620
4100 -324.723 0 0 0 1.82232 100 23 5.93069 100 26 0 0 0 -3.22291 100 20 0 0 0 0 0 0 0 0 0 7400 6696
4200 -326.93 0 0 0 1.72525 100 18 5.77656 100 20 0 0 0 -2.90125 100 16 0 0 0 0 0 0 0 0 0 7400 6706
4300 -324.8 0 0 0 2.13953 100 24 4.94474 100 24 0 0 0 -3.35594 100 19 0 0 0 0 0 0 0 0 0 7400 6736
4400 -325.476 0 0 0 2.27111 100 21 5.909 100 18 0 0 0 -3.1835 100 23 0 0 0 0 0 0 0 0 0 7400 6708
4500 -324.84 0 0 0 2.13527 100 16 6.26288 100 20 0 0 0 -3.35445 100 18 0 0 0 0 0 0 0 0 0 7400 6698
4600 -323.017 0 0 0 2.04431 100 19 7.00164 100 14 0 0 0 -3.05887 100 17 0 0 0 0 0 0 0 0 0 7400 6632
4700 -327.447 0 0 0 2.26056 100 25 7.40804 100 23 0 0 0 -3.57116 100 11 0 0 0 0 0 0 0 0 0 7400 6682
4800 -328.312 0 0 0 2.55098 100 22 8.75325 100 25 0 0 0 -3.46823 100 17 0 0 0 0 0 0 0 0 0 7400 6634
4900 -325.962 0 0 0 2.57498 100 14 7.34078 100 17 0 0 0 -3.727 100 17 0 0 0 0 0 0 0 0 0 7400 6628
5000 -323.302 0 0 0 1.51972 100 21 5.39186 100 24 0 0 0 -2.84432 100 23 0 0 0 0 0 0 0 0 0 7400 6668
5100 -326.226 0 0 0 1.6895 100 22 2.78912 100 15 0 0 0 -2.86535 100 19 0 0 0 0 0 0 0 0 0 7400 6742
5200 -320.844 0 0 0 1.81562 100 26 6.33842 100 22 0 0 0 -3.14123 100 24 0 0 0 0 0 0 0 0 0 7400 6722
5300 -325.261 0 0 0 1.36796 100 27 2.7321 100 34 0 0 0 -2.80692 100 23 0 0 0 0 0 0 0 0 0 7400 6752
5400 -324.915 0 0 0 1.21833 100 15 4.20949 100 15 0 0 0 -2.68728 100 21 0 0 0 0 0 0 0 0 0 7400 6743
5500 -325.254 0 0 0 1.87586 100 17 5.56938 100 22 0 0 0 -3.14041 100 26 0 0 0 0 0 0 0 0 0 7400 6739
5600 -326.484 0 0 0 1.52144 100 16 4.84489 100 19 0 0 0 -2.83468 100 16 0 0 0 0 0 0 0 0 0 7400 6744
5700 -325.835 0 0 0 0.783857 100 20 2.65472 100 21 0 0 0 -2.51376 100 17 0 0 0 0 0 0 0 0 0 7400 6769
5800 -322.842 0 0 0 1.92205 100 24 6.8433 100 21 0 0 0 -3.1705 100 20 0 0 0 0 0 0 0 0 0 7400 6674
5900 -323.076 0 0 0 1.64796 100 27 4.84572 100 19 0 0 0 -2.87451 100 21 0 0 0 0 0 0 0 0 0 7400 6764
6000 -324.114 0 0 0 1.60599 100 18 5.3351 100 22 0 0 0 -2.96106 100 15 0 0 0 0 0 0 0 0 0 7400 6686
6100 -323.192 0 0 0 1.90108 100 21 6.09156 100 26 0 0 0 -3.15207 100 17 0 0 0 0 0 0 0 0 0 7400 6663
6200 -325.826 0 0 0 1.00782 100 13 2.1034 100 18 0 0 0 -2.35899 100 15 0 0 0 0 0 0 0 0 0 7400 6781
6300 -325.185 0 0 0 1.3545 100 17 3.40435 100 26 0 0 0 -2.63756 100 10 0 0 0 0 0 0 0 0 0 7400 6822
6400 -326.456 0 0 0 1.64294 100 22 6.41841 100 27 0 0 0 -3.08008 100 17 0 0 0 0 0 0 0 0 0 7400 6732
6500 -326.431 0 0 0 2.00954 100 22 5.9355 100 20 0 0 0 -3.38091 100 18 0 0 0 0 0 0 0 0 0 7400 6657
6600 -327.421 0 0 0 2.8812 100 17 8.71442 100 22 0 0 0 -3.79572 100 15 0 0 0 0 0 0 0 0 0 7400 6686
6700 -322.632 0 0 0 1.72202 100 16 5.66608 100 21 0 0 0 -2.99767 100 17 0 0 0 0 0 0 0 0 0 7400 6675
6800 -326.947 0 0 0 1.34951 100 20 3.58554 100 21 0 0 0 -2.93875 100 7 0 0 0 0 0 0 0 0 0 7400 6775
6900 -326.51 0 0 0 1.3103 100 20 5.78932 100 18 0 0 0 -2.7127 100 17 0 0 0 0 0 0 0 0 0 7400 6752
7000 -324.323 0 0 0 2.07283 100 20 7.31249 100 23 0 0 0 -3.10787 100 23 0 0 0 0 0 0 0 0 0 7400 6703
7100 -327.414 0 0 0 2.42622 100 26 6.60446 100 18 0 0 0 -3.42722 100 21 0 0 0 0 0 0 0 0 0 7400 6643
7200 -321.308 0 0 0 2.1895 100 12 7.31541 100 26 0 0 0 -3.43987 100 14 0 0 0 0 0 0 0 0 0 7400 6623
7300 -324.468 0 0 0 1.62769 100 20 3.15072 100 19 0 0 0 -2.87988 100 18 0 0 0 0 0 0 0 0 0 7400 6707
7400 -328.837 0 0 0 2.49315 100 19 5.6228 100 25 0 0 0 -3.40441 100 17 0 0 0 0 0 0 0 0 0 7400 6694
7500 -322.409 0 0 0 2.75171 100 24 8.97231 100 20 0 0 0 -3.88642 100 16 0 0 0 0 0 0 0 0 0 7400 6670
7600 -328.192 0 0 0 3.04693 100 17 12.026 100 14 0 0 0 -4.24543 100 21 0 0 0 0 0 0 0 0 0 7400 6625
7700 -323.22 0 0 0 2.25116 100 19 7.20945 100 23 0 0 0 -3.59477 100 24 0 0 0 0 0 0 0 0 0 7400 6630
7800 -327.818 0 0 0 2.14485 100 20 4.07143 100 14 0 0 0 -3.30158 100 20 0 0 0 0 0 0 0 0 0 7400 6646
7900 -324.404 0 0 0 2.47681 100 16 6.4602 100 23 0 0 0 -3.47676 100 15 0 0 0 0 0 0 0 0 0 7400 6714
8000 -319.949 0 0 0 2.05045 100 15 6.66575 100 15 0 0 0 -3.24928 100 20 0 0 0 0 0 0 0 0 0 7400 6716
8100 -325.057 0 0 0 2.00496 100 31 5.77588 100 24 0 0 0 -3.28741 100 14 0 0 0 0 0 0 0 0 0 7400 6718
8200 -323.147 0 0 0 1.96074 100 22 6.81596 100 29 0 0 0 -3.16363 100 13 0 0 0 0 0 0 0 0 0 7400 6642
8300 -325.273 0 0 0 1.83705 100 17 6.44405 100 17 0 0 0 -3.36663 100 16 0 0 0 0 0 0 0 0 0 7400 6695
8400 -328.619 0 0 0 0.50803 100 17 1.17643 100 21 0 0 0 -1.97237 100 27 0 0 0 0 0 0 0 0 0 7400 6785
8500 -327.603 0 0 0 1.62599 100 15 7.73755 100 28 0 0 0 -3.05832 100 17 0 0 0 0 0 0 0 0 0 7400 6748
8600 -325.89 0 0 0 0.874923 100 24 1.56075 100 27 0 0 0 -2.34667 100 14 0 0 0 0 0 0 0 0 0 7400 6735
8700 -323.839 0 0 0 1.87102 100 23 5.19028 100 23 0 0 0 -3.13105 100 12 0 0 0 0 0 0 0 0 0 7400 6750
8800 -327.145 0 0 0 1.34164 100 24 4.70738 100 26 0 0 0 -2.93622 100 19 0 0 0 0 0 0 0 0 0 7400 6668
8900 -327.381 0 0 0 1.03879 100 25 3.44399 100 22 0 0 0 -2.63474 100 19 0 0 0 0 0 0 0 0 0 7400 6719
9000 -325.155 0 0 0 1.52213 100 16 2.33195 100 20 0 0 0 -2.74573 100 18 0 0 0 0 0 0 0 0 0 7400 6695
9100 -323.747 0 0 0 2.13583 100 16 6.166 100 27 0 0 0 -3.25231 100 23 0 0 0 0 0 0 0 0 0 7400 6728
9200 -323.672 0 0 0 2.10585 100 27 6.90221 100 26 0 0 0 -3.31286 100 22 0 0 0 0 0 0 0 0 0 7400 6722
9300 -325.106 0 0 0 1.91409 100 21 5.20097 100 14 0 0 0 -3.02261 100 17 0 0 0 0 0 0 0 0 0 7400 6699
9400 -324.156 0 0 0 1.65786 100 24 4.95885 100 20 0 0 0 -2.94551 100 17 0 0 0 0 0 0 0 0 0 7400 6745
9500 -324.229 0 0 0 1.20494 100 22 5.18942 100 23 0 0 0 -2.63451 100 18 0 0 0 0 0 0 0 0 0 7400 6722
9600 -325.726 0 0 0 2.49397 100 21 6.32857 100 25 0 0 0 -3.5997 100 21 0 0 0 0 0 0 0 0 0 7400 6714
9700 -323.105 0 0 0 2.0898 100 25 7.54546 100 29 0 0 0 -3.4081 100 20 0 0 0 0 0 0 0 0 0 7400 6622
9800 -326.314 0 0 0 2.00164 100 20 5.49497 100 26 0 0 0 -3.30453 100 19 0 0 0 0 0 0 0 0 0 7400 6704
9900 -323.139 0 0 0 2.42558 100 21 7.94615 100 20 0 0 0 -3.54597 100 16 0 0 0 0 0 0 0 0 0 7400 6596
10000 -327.658 0 0 0 1.49802 100 20 6.45645 100 23 0 0 0 -2.92543 100 18 0 0 0 0 0 0 0 0 0 7400 6721
10100 -325.243 0 0 0 2.66432 100 18 7.25321 100 22 0 0 0 -3.6829 100 21 0 0 0 0 0 0 0 0 0 7400 6704
10200 -322.897 0 0 0 2.61593 100 20 9.26546 100 16 0 0 0 -3.63788 100 25 0 0 0 0 0 0 0 0 0 7400 6586
10300 -327.567 0 0 0 2.41124 100 29 4.77934 100 23 0 0 0 -3.36099 100 21 0 0 0 0 0 0 0 0 0 7400 6614
10400 -324.475 0 0 0 2.18764 100 21 4.54193 100 20 0 0 0 -3.25832 100 21 0 0 0 0 0 0 0 0 0 7400 6644
10500 -322.129 0 0 0 1.94962 100 23 6.24912 100 23 0 0 0 -3.28578 100 11 0 0 0 0 0 0 0 0 0 7400 6684
10600 -325.567 0 0 0 1.73553 100 23 2.72624 100 18 0 0 0 -2.96586 100 19 0 0 0 0 0 0 0 0 0 7400 6715
10700 -323.836 0 0 0 1.81313 100 28 5.19923 100 25 0 0 0 -2.99997 100 22 0 0 0 0 0 0 0 0 0 7400 6649
10800 -324.987 0 0 0 2.25336 100 20 8.36549 100 19 0 0 0 -3.43564 100 22 0 0 0 0 0 0 0 0 0 7400 6687
10900 -328.248 0 0 0 1.63569 100 19 7.34246 100 24 0 0 0 -2.97835 100 15 0 0 0 0 0 0 0 0 0 7400 6663
11000 -332.296 0 0 0 1.91193 100 20 0.629192 100 27 0 0 0 -3.05133 100 19 0 0 0 0 0 0 0 0 0 7400 6721
11100 -325.075 0 0 0 1.67295 100 20 3.50443 100 23 0 0 0 -2.97392 100 17 0 0 0 0 0 0 0 0 0 7400 6703
