iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -1.88378e+08 0 0 0 -0.447601 0 0 17.306 0 0 0 0 0 10.1524 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -316.823 0 0 0 1.45932 100 40 5.08874 100 37 0 0 0 -2.64245 100 31 0 0 0 0 0 0 0 0 0 7700 5903
200 -317.274 0 0 0 1.1374 100 30 5.19932 100 19 0 0 0 -2.62255 100 18 0 0 0 0 0 0 0 0 0 7700 6826
300 -324.35 0 0 0 1.28534 100 29 5.40763 100 14 0 0 0 -2.52468 100 21 0 0 0 0 0 0 0 0 0 7700 6658
400 -321.589 0 0 0 1.35255 100 27 5.7634 100 10 0 0 0 -2.91714 100 20 0 0 0 0 0 0 0 0 0 7700 6758
500 -315.012 0 0 0 1.32926 100 19 6.62854 100 14 0 0 0 -2.84733 100 24 0 0 0 0 0 0 0 0 0 7700 6838
600 -318.924 0 0 0 1.62016 100 22 8.25229 100 19 0 0 0 -3.21989 100 21 0 0 0 0 0 0 0 0 0 7700 6773
700 -319.776 0 0 0 1.27501 100 18 6.58082 100 6 0 0 0 -2.77359 100 15 0 0 0 0 0 0 0 0 0 7700 6715
800 -321.378 0 0 0 2.17899 100 25 7.55981 100 14 0 0 0 -3.38366 100 20 0 0 0 0 0 0 0 0 0 7700 6625
900 -317.619 0 0 0 1.84599 100 24 8.10402 100 9 0 0 0 -3.17473 100 17 0 0 0 0 0 0 0 0 0 7700 6662
1000 -315.989 0 0 0 1.00385 100 30 7.0683 100 20 0 0 0 -3.04068 100 14 0 0 0 0 0 0 0 0 0 7700 6610
1100 -319.386 0 0 0 1.6153 100 20 7.37008 100 19 0 0 0 -3.10026 100 24 0 0 0 0 0 0 0 0 0 7700 6694
1200 -321.567 0 0 0 2.53115 100 21 7.67952 100 15 0 0 0 -3.32514 100 16 0 0 0 0 0 0 0 0 0 7700 6635
1300 -316.555 0 0 0 1.76391 100 39 6.67382 100 15 0 0 0 -2.9947 100 16 0 0 0 0 0 0 0 0 0 7700 6718
1400 -319.261 0 0 0 1.08029 100 28 6.38822 100 16 0 0 0 -2.85382 100 22 0 0 0 0 0 0 0 0 0 7700 6692
1500 -319.153 0 0 0 0.65713 100 20 5.49611 100 11 0 0 0 -2.39818 100 19 0 0 0 0 0 0 0 0 0 7700 6698
1600 -317.317 0 0 0 1.65363 100 27 7.68286 100 16 0 0 0 -3.15338 100 19 0 0 0 0 0 0 0 0 0 7700 6759
1700 -316.42 0 0 0 2.34274 100 23 10.045 100 11 0 0 0 -3.67463 100 19 0 0 0 0 0 0 0 0 0 7700 6626
1800 -317.084 0 0 0 1.39441 100 28 8.19929 100 8 0 0 0 -2.9837 100 17 0 0 0 0 0 0 0 0 0 7700 6608
1900 -320.665 0 0 0 1.55322 100 28 9.492 100 12 0 0 0 -3.21184 100 15 0 0 0 0 0 0 0 0 0 7700 6670
2000 -318.934 0 0 0 1.49299 100 27 8.4295 100 11 0 0 0 -3.03358 100 16 0 0 0 0 0 0 0 0 0 7700 6650
2100 -319.833 0 0 0 1.40218 100 25 5.82175 100 20 0 0 0 -2.83578 100 17 0 0 0 0 0 0 0 0 0 7700 6709
2200 -320.812 0 0 0 1.36393 100 30 5.67615 100 16 0 0 0 -2.61294 100 16 0 0 0 0 0 0 0 0 0 7700 6802
2300 -315.462 0 0 0 1.24392 100 31 6.78601 100 13 0 0 0 -3.03334 100 14 0 0 0 0 0 0 0 0 0 7700 6782
2400 -319.557 0 0 0 1.74291 100 26 8.35648 100 18 0 0 0 -3.2036 100 15 0 0 0 0 0 0 0 0 0 7700 6712
2500 -316.69 0 0 0 2.01076 100 22 10.5703 100 12 0 0 0 -3.45294 100 13 0 0 0 0 0 0 0 0 0 7700 6628
2600 -318.134 0 0 0 1.46833 100 32 8.13992 100 15 0 0 0 -3.03625 100 18 0 0 0 0 0 0 0 0 0 7700 6621
2700 -317.953 0 0 0 1.79421 100 27 6.68404 100 16 0 0 0 -2.76604 100 18 0 0 0 0 0 0 0 0 0 7700 6682
2800 -319.159 0 0 0 1.3124 100 37 4.9989 100 19 0 0 0 -2.59046 100 24 0 0 0 0 0 0 0 0 0 7700 6754
2900 -316.304 0 0 0 1.98329 100 18 11.3033 100 17 0 0 0 -3.58563 100 20 0 0 0 0 0 0 0 0 0 7700 6703
3000 -314.357 0 0 0 1.74729 100 26 7.35791 100 23 0 0 0 -2.96222 100 18 0 0 0 0 0 0 0 0 0 7700 6647
3100 -320.518 0 0 0 1.83662 100 18 7.70162 100 13 0 0 0 -3.06454 100 11 0 0 0 0 0 0 0 0 0 7700 6648
3200 -318.558 0 0 0 1.53054 100 21 6.30011 100 15 0 0 0 -2.93793 100 13 0 0 0 0 0 0 0 0 0 7700 6658
3300 -316.152 0 0 0 1.3 100 25 7.92925 100 19 0 0 0 -2.91515 100 13 0 0 0 0 0 0 0 0 0 7700 6770
3400 -320.39 0 0 0 0.978035 100 23 6.7316 100 11 0 0 0 -2.93886 100 16 0 0 0 0 0 0 0 0 0 7700 6696
3500 -318.599 0 0 0 1.74292 100 25 9.10624 100 16 0 0 0 -3.30232 100 22 0 0 0 0 0 0 0 0 0 7700 6673
3600 -318.848 0 0 0 2.10817 100 22 8.30926 100 11 0 0 0 -3.53166 100 18 0 0 0 0 0 0 0 0 0 7700 6551
3700 -315.679 0 0 0 1.1055 100 30 5.73149 100 11 0 0 0 -2.77053 100 15 0 0 0 0 0 0 0 0 0 7700 6606
3800 -324.543 0 0 0 1.33192 100 30 8.34213 100 25 0 0 0 -3.41828 100 10 0 0 0 0 0 0 0 0 0 7700 6659
3900 -319.263 0 0 0 1.67535 100 27 9.13889 100 16 0 0 0 -3.19348 100 17 0 0 0 0 0 0 0 0 0 7700 6643
4000 -322.999 0 0 0 1.10838 100 20 4.28601 100 18 0 0 0 -2.66802 100 14 0 0 0 0 0 0 0 0 0 7700 6674
4100 -322.795 0 0 0 0.726081 100 22 2.70077 100 15 0 0 0 -2.37063 100 19 0 0 0 0 0 0 0 0 0 7700 6798
4200 -324.17 0 0 0 0.850839 100 29 2.60389 100 16 0 0 0 -2.45311 100 15 0 0 0 0 0 0 0 0 0 7700 6894
4300 -316.872 0 0 0 1.01132 100 21 5.07825 100 17 0 0 0 -2.4893 100 23 0 0 0 0 0 0 0 0 0 7700 6811
4400 -314.082 0 0 0 1.70405 100 29 8.95349 100 15 0 0 0 -3.22753 100 16 0 0 0 0 0 0 0 0 0 7700 6656
4500 -314.896 0 0 0 1.3941 100 23 8.05523 100 20 0 0 0 -2.92396 100 14 0 0 0 0 0 0 0 0 0 7700 6713
4600 -315.741 0 0 0 1.51263 100 21 7.78385 100 18 0 0 0 -2.95949 100 21 0 0 0 0 0 0 0 0 0 7700 6677
4700 -318.944 0 0 0 1.82145 100 26 9.85669 100 12 0 0 0 -3.24514 100 17 0 0 0 0 0 0 0 0 0 7700 6576
4800 -318.775 0 0 0 1.83543 100 26 7.70568 100 12 0 0 0 -3.11718 100 15 0 0 0 0 0 0 0 0 0 7700 6643
4900 -315.247 0 0 0 2.11025 100 24 9.12845 100 16 0 0 0 -3.23365 100 13 0 0 0 0 0 0 0 0 0 7700 6627
5000 -315.092 0 0 0 1.1957 100 24 7.4598 100 16 0 0 0 -3.03889 100 22 0 0 0 0 0 0 0 0 0 7700 6609
5100 -317.615 0 0 0 2.00498 100 29 8.54988 100 10 0 0 0 -3.23395 100 14 0 0 0 0 0 0 0 0 0 7700 6671
5200 -319.875 0 0 0 1.30228 100 31 6.93892 100 20 0 0 0 -3.156 100 21 0 0 0 0 0 0 0 0 0 7700 6660
