iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -756.713 -5.57856 0 0 0 0 0 0 0 0 0 0 0 -8.81493 0 0 0.293054 0 0 0 0 0 0 0 0 0 0
100 -300.091 0.0657375 100 24 0 0 0 0 0 0 0 0 0 -1.97397 100 37 -0.16967 100 27 0 0 0 0 0 0 6400 5830
200 -298.658 -0.416471 100 14 0 0 0 0 0 0 0 0 0 -1.70133 100 25 -0.57398 100 21 0 0 0 0 0 0 6400 5827
300 -298.828 -0.254938 100 14 0 0 0 0 0 0 0 0 0 -2.02298 100 18 0.0795475 100 20 0 0 0 0 0 0 6400 5846
400 -296.209 -0.611794 100 19 0 0 0 0 0 0 0 0 0 -1.45922 100 15 -0.669628 100 18 0 0 0 0 0 0 6400 5875
500 -298.191 -0.0726675 100 21 0 0 0 0 0 0 0 0 0 -2.03736 100 12 0.108133 100 15 0 0 0 0 0 0 6400 5844
600 -300.287 -0.215864 100 17 0 0 0 0 0 0 0 0 0 -1.52591 100 15 -0.619461 100 21 0 0 0 0 0 0 6400 5809
700 -299.59 -0.529884 100 19 0 0 0 0 0 0 0 0 0 -1.50208 100 20 -0.920095 100 18 0 0 0 0 0 0 6400 5808
800 -299.465 -0.284275 100 18 0 0 0 0 0 0 0 0 0 -1.59547 100 16 -0.384782 100 21 0 0 0 0 0 0 6400 5833
900 -297.835 -0.452633 100 18 0 0 0 0 0 0 0 0 0 -1.71826 100 21 -0.518798 100 15 0 0 0 0 0 0 6400 5867
1000 -299.122 0.0555148 100 12 0 0 0 0 0 0 0 0 0 -1.6563 100 19 -0.897529 100 17 0 0 0 0 0 0 6400 5868
1100 -303.285 -0.800983 100 11 0 0 0 0 0 0 0 0 0 -1.95732 100 26 0.126944 100 20 0 0 0 0 0 0 6400 5878
1200 -300.094 -0.242218 100 19 0 0 0 0 0 0 0 0 0 -2.12912 100 19 0.204191 100 16 0 0 0 0 0 0 6400 5860
1300 -298.828 -0.430636 100 20 0 0 0 0 0 0 0 0 0 -1.53412 100 19 -0.65694 100 18 0 0 0 0 0 0 6400 5856
1400 -298.962 -0.521886 100 18 0 0 0 0 0 0 0 0 0 -1.60057 100 22 -0.285269 100 24 0 0 0 0 0 0 6400 5831
1500 -298.605 -0.466866 100 12 0 0 0 0 0 0 0 0 0 -1.72489 100 18 -0.235527 100 16 0 0 0 0 0 0 6400 5825
1600 -297.619 -0.435813 100 17 0 0 0 0 0 0 0 0 0 -1.53973 100 17 -0.862089 100 19 0 0 0 0 0 0 6400 5820
1700 -299.029 -0.052906 100 14 0 0 0 0 0 0 0 0 0 -1.59182 100 18 -0.781772 100 22 0 0 0 0 0 0 6400 5856
1800 -299.005 -0.165234 100 18 0 0 0 0 0 0 0 0 0 -1.83767 100 17 -0.835817 100 17 0 0 0 0 0 0 6400 5853
1900 -300.301 -0.652051 100 27 0 0 0 0 0 0 0 0 0 -1.85959 100 28 -0.104306 100 20 0 0 0 0 0 0 6400 5842
2000 -302.209 -0.0642671 100 14 0 0 0 0 0 0 0 0 0 -1.70406 100 31 -0.716647 100 26 0 0 0 0 0 0 6400 5846
2100 -297.461 -0.0808494 100 17 0 0 0 0 0 0 0 0 0 -1.93004 100 25 -0.487056 100 31 0 0 0 0 0 0 6400 5806
