iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -6.6147e+14 13.3974 0 0 0 0 0 0 0 0 0 0 0 16.0722 0 0 -1.03108 0 0 0 0 0 0 0 0 0 0
100 -260.456 -0.502886 100 32 0 0 0 0 0 0 0 0 0 -1.35849 100 38 -1.75296 100 38 0 0 0 0 0 0 5300 3888
200 -258.235 -0.481073 100 21 0 0 0 0 0 0 0 0 0 -1.884 100 22 -1.23627 100 37 0 0 0 0 0 0 5300 4867
300 -257.138 -0.932483 100 21 0 0 0 0 0 0 0 0 0 -1.76503 100 20 -1.38092 100 32 0 0 0 0 0 0 5300 4831
400 -257.613 -0.75799 100 23 0 0 0 0 0 0 0 0 0 -1.58637 100 27 -1.09417 100 28 0 0 0 0 0 0 5300 4824
500 -256.982 -0.486793 100 21 0 0 0 0 0 0 0 0 0 -1.76874 100 24 -1.36059 100 28 0 0 0 0 0 0 5300 4862
600 -256.232 -0.151688 100 18 0 0 0 0 0 0 0 0 0 -1.86431 100 22 -0.784791 100 33 0 0 0 0 0 0 5300 4859
700 -257.401 -0.14955 100 24 0 0 0 0 0 0 0 0 0 -1.80055 100 23 -1.141 100 38 0 0 0 0 0 0 5300 4861
800 -256.915 -0.268466 100 26 0 0 0 0 0 0 0 0 0 -1.72182 100 13 -1.35795 100 28 0 0 0 0 0 0 5300 4854
900 -257.631 -0.914694 100 25 0 0 0 0 0 0 0 0 0 -1.74136 100 27 -0.92567 100 30 0 0 0 0 0 0 5300 4874
1000 -257.035 -0.729671 100 20 0 0 0 0 0 0 0 0 0 -1.75482 100 29 -1.07257 100 27 0 0 0 0 0 0 5300 4816
1100 -256.761 -0.467119 100 17 0 0 0 0 0 0 0 0 0 -1.55392 100 23 -1.2858 100 27 0 0 0 0 0 0 5300 4911
1200 -258.533 -0.723217 100 22 0 0 0 0 0 0 0 0 0 -1.81489 100 19 -0.883459 100 25 0 0 0 0 0 0 5300 4840
1300 -256.745 -0.255904 100 23 0 0 0 0 0 0 0 0 0 -1.80909 100 23 -1.23983 100 32 0 0 0 0 0 0 5300 4855
1400 -257.562 -0.524432 100 18 0 0 0 0 0 0 0 0 0 -1.77425 100 22 -0.962477 100 35 0 0 0 0 0 0 5300 4834
1500 -257.011 -0.221968 100 15 0 0 0 0 0 0 0 0 0 -1.75407 100 21 -1.04478 100 37 0 0 0 0 0 0 5300 4845
1600 -256.43 -0.644797 100 21 0 0 0 0 0 0 0 0 0 -1.82262 100 24 -0.987943 100 31 0 0 0 0 0 0 5300 4849
1700 -257.175 -0.308404 100 19 0 0 0 0 0 0 0 0 0 -1.8541 100 23 -0.894154 100 23 0 0 0 0 0 0 5300 4871
1800 -259.49 -0.282783 100 17 0 0 0 0 0 0 0 0 0 -2.16412 100 27 -0.276292 100 29 0 0 0 0 0 0 5300 4814
1900 -261.59 0.324497 100 19 0 0 0 0 0 0 0 0 0 -2.08394 100 21 -1.10516 100 30 0 0 0 0 0 0 5300 4847
2000 -260.07 -0.828083 100 18 0 0 0 0 0 0 0 0 0 -1.70101 100 21 -0.857982 100 39 0 0 0 0 0 0 5300 4857
2100 -257.388 -0.730573 100 22 0 0 0 0 0 0 0 0 0 -1.74757 100 28 -1.10751 100 37 0 0 0 0 0 0 5300 4859
2200 -256.916 -0.459546 100 15 0 0 0 0 0 0 0 0 0 -1.80279 100 25 -1.21996 100 24 0 0 0 0 0 0 5300 4833
2300 -259.894 -0.155704 100 19 0 0 0 0 0 0 0 0 0 -1.92482 100 22 -0.211225 100 34 0 0 0 0 0 0 5300 4847
2400 -259.027 -0.395259 100 27 0 0 0 0 0 0 0 0 0 -1.54024 100 20 -1.16142 100 31 0 0 0 0 0 0 5300 4839
2500 -258.829 -0.329631 100 24 0 0 0 0 0 0 0 0 0 -1.93037 100 29 -1.26643 100 34 0 0 0 0 0 0 5300 4828
2600 -255.003 -0.804911 100 21 0 0 0 0 0 0 0 0 0 -1.55583 100 20 -1.3225 100 32 0 0 0 0 0 0 5300 4846
2700 -259.673 -0.510721 100 16 0 0 0 0 0 0 0 0 0 -1.80757 100 23 -1.51431 100 33 0 0 0 0 0 0 5300 4817
2800 -258.15 -0.499466 100 21 0 0 0 0 0 0 0 0 0 -1.85953 100 25 -0.613318 100 24 0 0 0 0 0 0 5300 4877
2900 -259.275 -0.608065 100 16 0 0 0 0 0 0 0 0 0 -1.64551 100 23 -1.80781 100 29 0 0 0 0 0 0 5300 4875
3000 -259.821 0.131391 100 22 0 0 0 0 0 0 0 0 0 -1.96191 100 18 -1.2032 100 24 0 0 0 0 0 0 5300 4858
3100 -259.409 -0.965169 100 16 0 0 0 0 0 0 0 0 0 -1.65787 100 27 -1.75667 100 42 0 0 0 0 0 0 5300 4860
3200 -257.954 -0.418771 100 22 0 0 0 0 0 0 0 0 0 -1.74391 100 26 -0.914064 100 34 0 0 0 0 0 0 5300 4872
3300 -256.489 -0.584701 100 21 0 0 0 0 0 0 0 0 0 -1.82588 100 25 -1.2332 100 33 0 0 0 0 0 0 5300 4849
3400 -258.751 -0.690823 100 20 0 0 0 0 0 0 0 0 0 -1.51603 100 19 -0.944101 100 29 0 0 0 0 0 0 5300 4852
3500 -259.452 -0.292182 100 17 0 0 0 0 0 0 0 0 0 -1.62929 100 20 -0.99941 100 26 0 0 0 0 0 0 5300 4847
3600 -255.687 -0.725944 100 12 0 0 0 0 0 0 0 0 0 -1.53607 100 21 -1.14946 100 32 0 0 0 0 0 0 5300 4834
3700 -259.071 -0.986593 100 27 0 0 0 0 0 0 0 0 0 -1.73889 100 18 -0.733474 100 34 0 0 0 0 0 0 5300 4849
3800 -258.407 -0.382834 100 17 0 0 0 0 0 0 0 0 0 -2.02232 100 20 -0.802024 100 33 0 0 0 0 0 0 5300 4815
3900 -257.202 -0.506984 100 24 0 0 0 0 0 0 0 0 0 -1.6001 100 21 -1.49289 100 28 0 0 0 0 0 0 5300 4867
4000 -257.869 -0.0228038 100 20 0 0 0 0 0 0 0 0 0 -1.86173 100 27 -0.534624 100 28 0 0 0 0 0 0 5300 4847
4100 -254.235 -0.0855094 100 24 0 0 0 0 0 0 0 0 0 -1.84795 100 25 -0.833434 100 33 0 0 0 0 0 0 5300 4877
4200 -257.696 -0.186608 100 22 0 0 0 0 0 0 0 0 0 -1.79936 100 28 -1.87674 100 33 0 0 0 0 0 0 5300 4861
4300 -256.813 -0.443425 100 18 0 0 0 0 0 0 0 0 0 -1.61298 100 14 -1.2933 100 33 0 0 0 0 0 0 5300 4851
4400 -257.849 -0.603958 100 17 0 0 0 0 0 0 0 0 0 -1.7897 100 26 -0.989556 100 32 0 0 0 0 0 0 5300 4849
4500 -257.559 -0.91129 100 11 0 0 0 0 0 0 0 0 0 -1.56936 100 29 -1.40602 100 42 0 0 0 0 0 0 5300 4840
4600 -258.551 -0.558015 100 16 0 0 0 0 0 0 0 0 0 -1.62625 100 15 -0.870801 100 19 0 0 0 0 0 0 5300 4844
4700 -258.975 -0.545186 100 17 0 0 0 0 0 0 0 0 0 -1.87586 100 22 -1.21096 100 37 0 0 0 0 0 0 5300 4851
4800 -256.911 -0.661217 100 25 0 0 0 0 0 0 0 0 0 -1.72464 100 19 -0.713808 100 33 0 0 0 0 0 0 5300 4842
4900 -256.984 -0.641707 100 19 0 0 0 0 0 0 0 0 0 -1.79268 100 19 -1.38404 100 35 0 0 0 0 0 0 5300 4845
5000 -258.28 -0.561552 100 20 0 0 0 0 0 0 0 0 0 -1.64006 100 26 -1.14169 100 30 0 0 0 0 0 0 5300 4846
5100 -258.403 -0.158773 100 19 0 0 0 0 0 0 0 0 0 -1.95167 100 29 -0.742491 100 37 0 0 0 0 0 0 5300 4828
5200 -256.859 -0.256607 100 19 0 0 0 0 0 0 0 0 0 -1.74839 100 28 -1.36296 100 25 0 0 0 0 0 0 5300 4844
5300 -255.983 -0.672643 100 22 0 0 0 0 0 0 0 0 0 -1.94652 100 21 -1.09599 100 37 0 0 0 0 0 0 5300 4868
5400 -257.133 -0.689226 100 22 0 0 0 0 0 0 0 0 0 -1.74438 100 15 -0.833521 100 34 0 0 0 0 0 0 5300 4841
5500 -259.217 -0.638203 100 17 0 0 0 0 0 0 0 0 0 -1.47209 100 19 -1.6928 100 29 0 0 0 0 0 0 5300 4853
5600 -257.404 -0.957382 100 19 0 0 0 0 0 0 0 0 0 -1.57065 100 22 -0.729301 100 20 0 0 0 0 0 0 5300 4854
5700 -258.881 -1.30808 100 23 0 0 0 0 0 0 0 0 0 -1.3232 100 25 -1.2345 100 28 0 0 0 0 0 0 5300 4825
5800 -253.92 -0.341504 100 18 0 0 0 0 0 0 0 0 0 -1.77244 100 22 -1.2838 100 35 0 0 0 0 0 0 5300 4847
5900 -259.74 -0.104659 100 21 0 0 0 0 0 0 0 0 0 -1.99718 100 28 -0.505584 100 33 0 0 0 0 0 0 5300 4875
6000 -255.577 -0.773476 100 17 0 0 0 0 0 0 0 0 0 -1.66451 100 25 -1.10656 100 35 0 0 0 0 0 0 5300 4848
6100 -258.909 -0.495905 100 24 0 0 0 0 0 0 0 0 0 -1.88239 100 28 -1.58157 100 31 0 0 0 0 0 0 5300 4837
6200 -257.592 -0.282243 100 27 0 0 0 0 0 0 0 0 0 -1.98592 100 30 -0.647074 100 30 0 0 0 0 0 0 5300 4864
6300 -256.055 -0.74727 100 29 0 0 0 0 0 0 0 0 0 -1.70261 100 26 -0.850082 100 31 0 0 0 0 0 0 5300 4823
6400 -257.977 -0.181178 100 17 0 0 0 0 0 0 0 0 0 -1.98453 100 29 -1.09023 100 33 0 0 0 0 0 0 5300 4857
6500 -257.177 -0.302793 100 19 0 0 0 0 0 0 0 0 0 -1.74439 100 28 -0.915065 100 35 0 0 0 0 0 0 5300 4868
6600 -258.343 -1.01429 100 24 0 0 0 0 0 0 0 0 0 -1.7212 100 22 -0.820645 100 29 0 0 0 0 0 0 5300 4845
6700 -258.815 -0.697599 100 24 0 0 0 0 0 0 0 0 0 -1.94958 100 20 -0.803481 100 37 0 0 0 0 0 0 5300 4849
6800 -259.212 -0.915396 100 17 0 0 0 0 0 0 0 0 0 -2.03427 100 31 -1.06682 100 40 0 0 0 0 0 0 5300 4848
6900 -260.437 -1.07694 100 24 0 0 0 0 0 0 0 0 0 -1.68567 100 27 -1.65628 100 33 0 0 0 0 0 0 5300 4843
7000 -258.159 -0.517701 100 23 0 0 0 0 0 0 0 0 0 -1.68649 100 18 -1.58968 100 30 0 0 0 0 0 0 5300 4858
