iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -1.83906e+06 10.4755 0 0 0 0 0 0 0 0 0 0 0 -0.230858 0 0 -3.80368 0 0 0 0 0 0 0 0 0 0
100 -263.984 -2.55616 100 54 0 0 0 0 0 0 0 0 0 -1.79717 100 31 -0.932467 100 27 0 0 0 0 0 0 6000 5626
200 -265.072 -2.09781 100 53 0 0 0 0 0 0 0 0 0 -1.83822 100 19 -0.616501 100 18 0 0 0 0 0 0 6000 5621
300 -268.799 -2.92776 100 65 0 0 0 0 0 0 0 0 0 -1.73749 100 26 -1.87931 100 20 0 0 0 0 0 0 6000 5628
400 -266.594 -7.74245 100 47 0 0 0 0 0 0 0 0 0 -1.46876 100 19 -1.08101 100 32 0 0 0 0 0 0 6000 5635
500 -265.035 -2.43918 100 55 0 0 0 0 0 0 0 0 0 -1.55169 100 18 -0.843761 100 26 0 0 0 0 0 0 6000 5632
600 -264.485 -3.67809 100 55 0 0 0 0 0 0 0 0 0 -1.6275 100 28 -1.00854 100 20 0 0 0 0 0 0 6000 5632
700 -263.022 -2.28206 100 57 0 0 0 0 0 0 0 0 0 -1.61014 100 24 -1.19642 100 31 0 0 0 0 0 0 6000 5634
800 -264.958 -3.93345 100 59 0 0 0 0 0 0 0 0 0 -1.44808 100 19 -0.890017 100 25 0 0 0 0 0 0 6000 5632
900 -266.641 -4.56566 100 51 0 0 0 0 0 0 0 0 0 -1.49613 100 19 -0.797732 100 25 0 0 0 0 0 0 6000 5632
1000 -264.887 -3.82597 100 65 0 0 0 0 0 0 0 0 0 -1.77418 100 21 -0.75259 100 21 0 0 0 0 0 0 6000 5635
1100 -266.272 -2.46807 100 60 0 0 0 0 0 0 0 0 0 -1.45464 100 18 -1.33573 100 20 0 0 0 0 0 0 6000 5622
1200 -265.608 -3.11175 100 64 0 0 0 0 0 0 0 0 0 -1.58748 100 22 -0.890292 100 21 0 0 0 0 0 0 6000 5629
1300 -264.3 -3.6712 100 54 0 0 0 0 0 0 0 0 0 -1.68398 100 22 -0.501596 100 30 0 0 0 0 0 0 6000 5635
1400 -264.384 -4.73497 100 56 0 0 0 0 0 0 0 0 0 -1.68704 100 22 -1.09569 100 24 0 0 0 0 0 0 6000 5604
1500 -263.569 -3.64048 100 64 0 0 0 0 0 0 0 0 0 -1.55232 100 17 -1.01599 100 27 0 0 0 0 0 0 6000 5621
1600 -263.989 -2.68054 100 53 0 0 0 0 0 0 0 0 0 -1.73982 100 21 -1.05572 100 29 0 0 0 0 0 0 6000 5634
1700 -264.661 -2.91856 100 50 0 0 0 0 0 0 0 0 0 -1.65831 100 24 -1.02911 100 24 0 0 0 0 0 0 6000 5652
1800 -265.594 -5.58856 100 57 0 0 0 0 0 0 0 0 0 -1.63799 100 30 -1.24513 100 28 0 0 0 0 0 0 6000 5621
1900 -267.106 -5.05152 100 68 0 0 0 0 0 0 0 0 0 -1.52548 100 16 -0.849001 100 28 0 0 0 0 0 0 6000 5641
2000 -263.561 -2.75346 100 50 0 0 0 0 0 0 0 0 0 -1.7997 100 22 -0.720984 100 29 0 0 0 0 0 0 6000 5633
2100 -265.148 -3.38842 100 51 0 0 0 0 0 0 0 0 0 -1.83035 100 25 -1.31247 100 19 0 0 0 0 0 0 6000 5595
2200 -265.491 -4.01849 100 67 0 0 0 0 0 0 0 0 0 -1.83443 100 25 -0.827439 100 34 0 0 0 0 0 0 6000 5624
2300 -264.753 -2.66186 100 72 0 0 0 0 0 0 0 0 0 -1.47797 100 23 -0.750113 100 33 0 0 0 0 0 0 6000 5635
2400 -264.002 -2.61928 100 53 0 0 0 0 0 0 0 0 0 -1.57052 100 21 -1.00156 100 22 0 0 0 0 0 0 6000 5638
2500 -264.73 -2.31777 100 47 0 0 0 0 0 0 0 0 0 -1.73801 100 26 -1.12602 100 31 0 0 0 0 0 0 6000 5633
2600 -266.671 -4.42421 100 57 0 0 0 0 0 0 0 0 0 -1.86099 100 21 -0.375824 100 24 0 0 0 0 0 0 6000 5629
2700 -270.381 -0.498936 100 58 0 0 0 0 0 0 0 0 0 -1.66645 100 21 -1.48599 100 27 0 0 0 0 0 0 6000 5627
2800 -263.427 -3.23875 100 50 0 0 0 0 0 0 0 0 0 -1.59643 100 22 -0.897836 100 27 0 0 0 0 0 0 6000 5627
2900 -267.039 -5.20929 100 57 0 0 0 0 0 0 0 0 0 -1.71763 100 20 -0.419304 100 27 0 0 0 0 0 0 6000 5659
3000 -265.682 -3.33769 100 52 0 0 0 0 0 0 0 0 0 -1.62818 100 22 -1.63654 100 27 0 0 0 0 0 0 6000 5623
3100 -267.309 -1.1184 100 60 0 0 0 0 0 0 0 0 0 -1.8544 100 27 -0.649712 100 29 0 0 0 0 0 0 6000 5651
3200 -268.243 -2.30097 100 53 0 0 0 0 0 0 0 0 0 -1.74468 100 19 -0.393058 100 31 0 0 0 0 0 0 6000 5617
3300 -270.152 -4.18754 100 55 0 0 0 0 0 0 0 0 0 -1.96821 100 23 -1.30808 100 28 0 0 0 0 0 0 6000 5624
3400 -266.357 -3.05044 100 62 0 0 0 0 0 0 0 0 0 -1.69837 100 28 -1.39219 100 34 0 0 0 0 0 0 6000 5636
3500 -267.962 -1.71126 100 56 0 0 0 0 0 0 0 0 0 -1.41343 100 24 -1.55117 100 28 0 0 0 0 0 0 6000 5613
3600 -266.874 -2.42965 100 44 0 0 0 0 0 0 0 0 0 -1.66999 100 30 -1.37578 100 26 0 0 0 0 0 0 6000 5623
3700 -263.681 -2.39528 100 53 0 0 0 0 0 0 0 0 0 -1.78483 100 16 -0.755825 100 27 0 0 0 0 0 0 6000 5644
3800 -264.092 -4.00689 100 54 0 0 0 0 0 0 0 0 0 -1.69239 100 23 -1.28712 100 29 0 0 0 0 0 0 6000 5670
3900 -268.351 -2.29968 100 51 0 0 0 0 0 0 0 0 0 -2.11546 100 26 -0.0593778 100 27 0 0 0 0 0 0 6000 5642
4000 -265.325 -2.89251 100 59 0 0 0 0 0 0 0 0 0 -1.60976 100 22 -1.26294 100 27 0 0 0 0 0 0 6000 5640
4100 -264.162 -2.58413 100 56 0 0 0 0 0 0 0 0 0 -1.63209 100 24 -0.626162 100 23 0 0 0 0 0 0 6000 5598
4200 -268.726 -2.79573 100 62 0 0 0 0 0 0 0 0 0 -2.01872 100 27 0.0444498 100 29 0 0 0 0 0 0 6000 5628
