iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -6.32756e+07 -19.8771 0 0 0 0 0 0 0 0 0 0 0 12.3459 0 0 -4.9904 0 0 0 0 0 0 0 0 0 0
100 -366.658 -0.726874 100 38 0 0 0 0 0 0 0 0 0 -1.70775 100 31 -1.12446 100 40 0 0 0 0 0 0 8500 6086
200 -368.882 -1.75675 100 24 0 0 0 0 0 0 0 0 0 -1.54577 100 13 -0.817148 100 15 0 0 0 0 0 0 8500 7930
300 -369.755 -0.249634 100 20 0 0 0 0 0 0 0 0 0 -2.02305 100 17 -0.685794 100 20 0 0 0 0 0 0 8500 7946
400 -366.858 -0.488175 100 25 0 0 0 0 0 0 0 0 0 -1.53153 100 21 -0.598764 100 30 0 0 0 0 0 0 8500 7900
500 -366.866 -0.571576 100 20 0 0 0 0 0 0 0 0 0 -1.51846 100 14 -0.573948 100 26 0 0 0 0 0 0 8500 7924
600 -365.074 -0.663597 100 10 0 0 0 0 0 0 0 0 0 -1.54174 100 21 -0.879134 100 26 0 0 0 0 0 0 8500 7929
700 -367.047 -0.467167 100 22 0 0 0 0 0 0 0 0 0 -1.55951 100 24 -0.513321 100 23 0 0 0 0 0 0 8500 7975
800 -365.651 -1.01504 100 18 0 0 0 0 0 0 0 0 0 -1.56295 100 16 -0.841311 100 17 0 0 0 0 0 0 8500 7912
900 -367.886 -1.42542 100 23 0 0 0 0 0 0 0 0 0 -1.79754 100 23 -0.331376 100 15 0 0 0 0 0 0 8500 7892
1000 -366.826 -0.192601 100 25 0 0 0 0 0 0 0 0 0 -1.91939 100 20 -0.598035 100 26 0 0 0 0 0 0 8500 7913
1100 -367.63 -0.474218 100 26 0 0 0 0 0 0 0 0 0 -1.67119 100 18 -1.08318 100 23 0 0 0 0 0 0 8500 7938
1200 -369.125 -0.509925 100 23 0 0 0 0 0 0 0 0 0 -1.91987 100 14 -0.622066 100 17 0 0 0 0 0 0 8500 7949
1300 -367.998 -0.941795 100 24 0 0 0 0 0 0 0 0 0 -1.66576 100 14 -0.927978 100 14 0 0 0 0 0 0 8500 7949
1400 -367.759 -0.100418 100 18 0 0 0 0 0 0 0 0 0 -1.68118 100 24 -0.66376 100 28 0 0 0 0 0 0 8500 7954
1500 -367.077 -0.827539 100 18 0 0 0 0 0 0 0 0 0 -1.45263 100 26 -0.939843 100 20 0 0 0 0 0 0 8500 7906
1600 -367.073 -0.332381 100 14 0 0 0 0 0 0 0 0 0 -1.7932 100 22 -0.576186 100 21 0 0 0 0 0 0 8500 7960
1700 -368.946 0.0114967 100 24 0 0 0 0 0 0 0 0 0 -1.63901 100 15 -0.914384 100 17 0 0 0 0 0 0 8500 7941
1800 -367.817 -0.876999 100 18 0 0 0 0 0 0 0 0 0 -1.72063 100 19 -0.832923 100 17 0 0 0 0 0 0 8500 7912
1900 -365.5 -0.819115 100 30 0 0 0 0 0 0 0 0 0 -1.50947 100 16 -0.796485 100 20 0 0 0 0 0 0 8500 7862
2000 -367.301 -1.19627 100 15 0 0 0 0 0 0 0 0 0 -1.48578 100 22 -1.12642 100 17 0 0 0 0 0 0 8500 7953
2100 -369.134 -1.13403 100 18 0 0 0 0 0 0 0 0 0 -1.89524 100 31 -0.1257 100 22 0 0 0 0 0 0 8500 7929
2200 -367.67 -0.875889 100 18 0 0 0 0 0 0 0 0 0 -1.78352 100 19 -0.37188 100 17 0 0 0 0 0 0 8500 7930
2300 -368.27 -0.443778 100 18 0 0 0 0 0 0 0 0 0 -1.5838 100 20 -1.35442 100 15 0 0 0 0 0 0 8500 7909
2400 -366.59 -0.756945 100 18 0 0 0 0 0 0 0 0 0 -1.66603 100 24 -0.615228 100 25 0 0 0 0 0 0 8500 7973
2500 -365.368 -0.0782552 100 21 0 0 0 0 0 0 0 0 0 -1.68958 100 21 -0.526312 100 21 0 0 0 0 0 0 8500 7960
2600 -370.792 -1.80875 100 28 0 0 0 0 0 0 0 0 0 -1.46157 100 17 -0.530258 100 18 0 0 0 0 0 0 8500 7925
2700 -364.926 -0.745394 100 18 0 0 0 0 0 0 0 0 0 -1.56812 100 31 -0.518755 100 22 0 0 0 0 0 0 8500 7927
2800 -368.412 -0.853984 100 18 0 0 0 0 0 0 0 0 0 -1.53602 100 18 -0.94835 100 18 0 0 0 0 0 0 8500 7913
2900 -367.749 -0.651862 100 17 0 0 0 0 0 0 0 0 0 -1.82202 100 11 -0.834594 100 20 0 0 0 0 0 0 8500 7943
3000 -368.559 -0.054178 100 21 0 0 0 0 0 0 0 0 0 -1.71485 100 24 -0.608562 100 22 0 0 0 0 0 0 8500 7931
3100 -366.612 -0.608343 100 18 0 0 0 0 0 0 0 0 0 -1.41602 100 17 -0.669128 100 18 0 0 0 0 0 0 8500 7938
3200 -366.009 -0.598992 100 22 0 0 0 0 0 0 0 0 0 -1.71654 100 23 -0.338412 100 20 0 0 0 0 0 0 8500 7929
3300 -367.186 -0.132656 100 29 0 0 0 0 0 0 0 0 0 -1.81467 100 18 -0.434078 100 25 0 0 0 0 0 0 8500 7930
