iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -7.82722e+16 -1.70263 0 0 0 0 0 0 0 0 0 0 0 14.4579 0 0 17.9557 0 0 0 0 0 0 0 0 0 0
100 -275.798 -0.942151 100 39 0 0 0 0 0 0 0 0 0 -3.00652 100 36 -0.649747 100 41 0 0 0 0 0 0 6000 2884
200 -273.933 -0.510178 100 29 0 0 0 0 0 0 0 0 0 -3.17157 100 27 -0.500444 100 23 0 0 0 0 0 0 6000 5345
300 -276.493 -0.404671 100 33 0 0 0 0 0 0 0 0 0 -3.1335 100 28 -0.225769 100 26 0 0 0 0 0 0 6000 5371
400 -273.702 -0.414134 100 32 0 0 0 0 0 0 0 0 0 -3.31622 100 21 -0.177273 100 26 0 0 0 0 0 0 6000 5340
500 -276.705 -0.339894 100 37 0 0 0 0 0 0 0 0 0 -3.44572 100 22 -0.0381424 100 21 0 0 0 0 0 0 6000 5391
600 -273.991 -0.854124 100 35 0 0 0 0 0 0 0 0 0 -2.87006 100 29 -0.635952 100 22 0 0 0 0 0 0 6000 5401
700 -275.458 -1.21986 100 35 0 0 0 0 0 0 0 0 0 -3.10968 100 32 -0.401693 100 19 0 0 0 0 0 0 6000 5335
800 -274.887 -0.757333 100 32 0 0 0 0 0 0 0 0 0 -2.8468 100 23 -0.432749 100 16 0 0 0 0 0 0 6000 5372
900 -276.267 -1.29733 100 31 0 0 0 0 0 0 0 0 0 -3.02824 100 19 -0.00629873 100 19 0 0 0 0 0 0 6000 5372
1000 -276.756 -1.60315 100 29 0 0 0 0 0 0 0 0 0 -3.1241 100 24 -0.745775 100 30 0 0 0 0 0 0 6000 5349
1100 -274.24 -1.0935 100 27 0 0 0 0 0 0 0 0 0 -3.39034 100 29 -0.129641 100 31 0 0 0 0 0 0 6000 5334
1200 -275.851 -1.55618 100 35 0 0 0 0 0 0 0 0 0 -2.94108 100 17 -0.980566 100 27 0 0 0 0 0 0 6000 5372
1300 -276.688 -0.239504 100 32 0 0 0 0 0 0 0 0 0 -3.22272 100 12 -0.397571 100 28 0 0 0 0 0 0 6000 5369
1400 -278.878 -1.2743 100 29 0 0 0 0 0 0 0 0 0 -3.36337 100 29 -0.48135 100 23 0 0 0 0 0 0 6000 5348
1500 -275.761 -1.17217 100 40 0 0 0 0 0 0 0 0 0 -3.2162 100 14 -0.311411 100 19 0 0 0 0 0 0 6000 5331
1600 -274.843 -1.04718 100 32 0 0 0 0 0 0 0 0 0 -2.97678 100 12 -0.301414 100 20 0 0 0 0 0 0 6000 5368
1700 -274.255 -1.53275 100 35 0 0 0 0 0 0 0 0 0 -2.9552 100 24 -0.408457 100 20 0 0 0 0 0 0 6000 5386
1800 -275.407 -1.38377 100 37 0 0 0 0 0 0 0 0 0 -3.07638 100 19 -0.467114 100 23 0 0 0 0 0 0 6000 5418
1900 -272.831 -1.31835 100 28 0 0 0 0 0 0 0 0 0 -2.98805 100 24 -0.365298 100 23 0 0 0 0 0 0 6000 5429
2000 -277.358 -0.570392 100 30 0 0 0 0 0 0 0 0 0 -2.95548 100 18 -0.685744 100 33 0 0 0 0 0 0 6000 5393
2100 -277.225 -1.16949 100 31 0 0 0 0 0 0 0 0 0 -3.1622 100 25 -0.525887 100 22 0 0 0 0 0 0 6000 5379
2200 -274.496 -1.33445 100 30 0 0 0 0 0 0 0 0 0 -2.89561 100 26 -0.515346 100 25 0 0 0 0 0 0 6000 5388
2300 -273.275 -1.21224 100 30 0 0 0 0 0 0 0 0 0 -3.14171 100 22 -0.253318 100 24 0 0 0 0 0 0 6000 5343
2400 -274.538 -1.19047 100 28 0 0 0 0 0 0 0 0 0 -3.15979 100 24 0.152446 100 28 0 0 0 0 0 0 6000 5380
2500 -281.297 -1.39118 100 27 0 0 0 0 0 0 0 0 0 -3.5876 100 22 0.107253 100 26 0 0 0 0 0 0 6000 5352
2600 -278.019 -1.72275 100 30 0 0 0 0 0 0 0 0 0 -3.20092 100 18 -0.535754 100 24 0 0 0 0 0 0 6000 5374
2700 -274.794 -0.369335 100 29 0 0 0 0 0 0 0 0 0 -3.10343 100 34 -0.0582913 100 21 0 0 0 0 0 0 6000 5358
2800 -274.576 -2.15394 100 31 0 0 0 0 0 0 0 0 0 -3.03825 100 22 -0.349175 100 24 0 0 0 0 0 0 6000 5375
