iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -783.384 -24.5561 0 0 0 0 0 0 0 0 0 0 0 -6.38225 0 0 -12.703 0 0 0 0 0 0 0 0 0 0
100 -219.334 -0.838267 100 35 0 0 0 0 0 0 0 0 0 -1.79839 100 25 -0.466 100 33 0 0 0 0 0 0 0 0
200 -219.012 -0.988157 100 16 0 0 0 0 0 0 0 0 0 -2.029 100 25 -0.0464489 100 19 0 0 0 0 0 0 0 0
300 -221.717 -1.3756 100 31 0 0 0 0 0 0 0 0 0 -1.42678 100 27 -0.698562 100 21 0 0 0 0 0 0 0 0
400 -219.361 -0.681778 100 29 0 0 0 0 0 0 0 0 0 -1.95293 100 29 0.169253 100 33 0 0 0 0 0 0 0 0
500 -219.822 -1.38494 100 28 0 0 0 0 0 0 0 0 0 -1.92565 100 31 -0.135392 100 17 0 0 0 0 0 0 0 0
600 -218.876 -1.04025 100 22 0 0 0 0 0 0 0 0 0 -1.85609 100 34 -0.200968 100 25 0 0 0 0 0 0 0 0
700 -219.323 -0.576697 100 22 0 0 0 0 0 0 0 0 0 -2.2491 100 27 0.232263 100 19 0 0 0 0 0 0 0 0
800 -219.548 -0.623985 100 23 0 0 0 0 0 0 0 0 0 -2.17368 100 39 -0.125459 100 22 0 0 0 0 0 0 0 0
900 -218.925 -1.0744 100 29 0 0 0 0 0 0 0 0 0 -1.85462 100 21 -0.2049 100 15 0 0 0 0 0 0 0 0
1000 -219.806 -1.20992 100 23 0 0 0 0 0 0 0 0 0 -2.00799 100 15 -0.225121 100 15 0 0 0 0 0 0 0 0
1100 -219.561 -0.775209 100 28 0 0 0 0 0 0 0 0 0 -2.18365 100 35 0.322031 100 20 0 0 0 0 0 0 0 0
1200 -219.021 -0.718444 100 21 0 0 0 0 0 0 0 0 0 -1.84814 100 25 -0.0734627 100 24 0 0 0 0 0 0 0 0
1300 -219.371 -0.932318 100 19 0 0 0 0 0 0 0 0 0 -1.69779 100 20 -0.388775 100 22 0 0 0 0 0 0 0 0
1400 -219.541 -0.767883 100 26 0 0 0 0 0 0 0 0 0 -2.23873 100 27 0.231719 100 29 0 0 0 0 0 0 0 0
1500 -221.118 -1.03216 100 28 0 0 0 0 0 0 0 0 0 -2.34306 100 37 0.317473 100 24 0 0 0 0 0 0 0 0
1600 -222.604 -0.628564 100 26 0 0 0 0 0 0 0 0 0 -2.4366 100 28 -0.108286 100 30 0 0 0 0 0 0 0 0
1700 -220.48 -1.0397 100 25 0 0 0 0 0 0 0 0 0 -1.61559 100 28 -0.707568 100 22 0 0 0 0 0 0 0 0
1800 -221.39 0.0127225 100 15 0 0 0 0 0 0 0 0 0 -2.01385 100 24 -0.104084 100 22 0 0 0 0 0 0 0 0
1900 -219.531 -0.260846 100 21 0 0 0 0 0 0 0 0 0 -2.10855 100 30 -0.0723131 100 15 0 0 0 0 0 0 0 0
2000 -219.526 -0.567837 100 20 0 0 0 0 0 0 0 0 0 -1.79091 100 30 -0.272116 100 18 0 0 0 0 0 0 0 0
2100 -218.837 -0.798822 100 23 0 0 0 0 0 0 0 0 0 -1.85379 100 21 -0.115065 100 32 0 0 0 0 0 0 0 0
2200 -218.825 -0.861056 100 28 0 0 0 0 0 0 0 0 0 -1.84402 100 38 -0.269299 100 23 0 0 0 0 0 0 0 0
2300 -219.071 -0.471781 100 17 0 0 0 0 0 0 0 0 0 -2.18547 100 25 0.188028 100 20 0 0 0 0 0 0 0 0
2400 -222.087 -1.67924 100 33 0 0 0 0 0 0 0 0 0 -2.03101 100 29 0.214214 100 26 0 0 0 0 0 0 0 0
2500 -220.54 -1.44698 100 25 0 0 0 0 0 0 0 0 0 -1.68086 100 30 -0.621477 100 21 0 0 0 0 0 0 0 0
2600 -219.494 -0.993211 100 25 0 0 0 0 0 0 0 0 0 -1.87979 100 32 -0.456121 100 26 0 0 0 0 0 0 0 0
2700 -222.015 -0.0281766 100 27 0 0 0 0 0 0 0 0 0 -2.4761 100 27 0.78546 100 28 0 0 0 0 0 0 0 0
