iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -4.43526e+15 -11.6115 0 0 0 0 0 0 0 0 0 0 0 10.1902 0 0 20.792 0 0 0 0 0 0 0 0 0 0
100 -221.764 -0.86417 100 31 0 0 0 0 0 0 0 0 0 -1.64781 100 40 -0.741686 100 45 0 0 0 0 0 0 0 0
200 -222.327 -1.3074 100 25 0 0 0 0 0 0 0 0 0 -1.70944 100 32 -0.880104 100 21 0 0 0 0 0 0 0 0
300 -223.199 -0.316163 100 24 0 0 0 0 0 0 0 0 0 -2.06482 100 30 -0.327294 100 31 0 0 0 0 0 0 0 0
400 -222.714 -0.526974 100 20 0 0 0 0 0 0 0 0 0 -1.94438 100 24 -0.253218 100 20 0 0 0 0 0 0 0 0
500 -223.563 -1.44887 100 20 0 0 0 0 0 0 0 0 0 -1.46805 100 31 -0.604209 100 30 0 0 0 0 0 0 0 0
600 -222.038 -1.24011 100 23 0 0 0 0 0 0 0 0 0 -1.56221 100 14 -0.772944 100 30 0 0 0 0 0 0 0 0
700 -222.401 -1.31229 100 23 0 0 0 0 0 0 0 0 0 -1.52412 100 20 -0.72374 100 23 0 0 0 0 0 0 0 0
800 -222.28 -1.04832 100 24 0 0 0 0 0 0 0 0 0 -1.51832 100 21 -0.742171 100 30 0 0 0 0 0 0 0 0
900 -221.707 -0.83087 100 23 0 0 0 0 0 0 0 0 0 -1.74953 100 29 -0.608554 100 27 0 0 0 0 0 0 0 0
1000 -222.555 -0.654514 100 23 0 0 0 0 0 0 0 0 0 -1.99326 100 33 -0.313037 100 25 0 0 0 0 0 0 0 0
1100 -222.977 -1.56753 100 24 0 0 0 0 0 0 0 0 0 -1.57803 100 26 -1.04947 100 22 0 0 0 0 0 0 0 0
1200 -225.132 -1.27477 100 30 0 0 0 0 0 0 0 0 0 -1.93233 100 30 -1.06061 100 31 0 0 0 0 0 0 0 0
1300 -222.846 -1.31851 100 22 0 0 0 0 0 0 0 0 0 -1.76156 100 27 -0.941314 100 28 0 0 0 0 0 0 0 0
1400 -222.99 -1.63738 100 29 0 0 0 0 0 0 0 0 0 -1.5015 100 26 -0.946152 100 27 0 0 0 0 0 0 0 0
1500 -222.312 -0.910052 100 26 0 0 0 0 0 0 0 0 0 -1.77417 100 26 -0.364169 100 18 0 0 0 0 0 0 0 0
1600 -222.673 -0.910234 100 24 0 0 0 0 0 0 0 0 0 -1.93547 100 23 -0.270438 100 22 0 0 0 0 0 0 0 0
1700 -223.553 -1.46413 100 26 0 0 0 0 0 0 0 0 0 -1.74988 100 23 -0.350045 100 30 0 0 0 0 0 0 0 0
1800 -222.346 -0.47808 100 17 0 0 0 0 0 0 0 0 0 -1.8439 100 31 -0.496298 100 19 0 0 0 0 0 0 0 0
1900 -222.192 -0.604458 100 26 0 0 0 0 0 0 0 0 0 -1.76162 100 29 -0.503711 100 15 0 0 0 0 0 0 0 0
2000 -224.132 -0.812421 100 26 0 0 0 0 0 0 0 0 0 -1.82908 100 24 -1.23019 100 25 0 0 0 0 0 0 0 0
2100 -222.278 -1.09002 100 31 0 0 0 0 0 0 0 0 0 -1.79731 100 17 -0.848467 100 33 0 0 0 0 0 0 0 0
2200 -223.086 -0.381943 100 15 0 0 0 0 0 0 0 0 0 -1.81818 100 23 -0.373496 100 26 0 0 0 0 0 0 0 0
2300 -223.457 -1.52944 100 23 0 0 0 0 0 0 0 0 0 -1.39317 100 22 -1.24692 100 24 0 0 0 0 0 0 0 0
2400 -226.896 -0.83014 100 26 0 0 0 0 0 0 0 0 0 -1.95609 100 20 -1.3953 100 27 0 0 0 0 0 0 0 0
2500 -221.94 -1.10674 100 22 0 0 0 0 0 0 0 0 0 -1.58354 100 25 -0.964754 100 27 0 0 0 0 0 0 0 0
2600 -221.932 -0.780447 100 21 0 0 0 0 0 0 0 0 0 -1.63945 100 28 -0.729303 100 24 0 0 0 0 0 0 0 0
2700 -223.221 -0.293272 100 24 0 0 0 0 0 0 0 0 0 -2.01477 100 27 -0.548356 100 23 0 0 0 0 0 0 0 0
2800 -223.26 -0.425106 100 27 0 0 0 0 0 0 0 0 0 -1.9188 100 25 -0.189012 100 26 0 0 0 0 0 0 0 0
2900 -223.133 -0.459485 100 23 0 0 0 0 0 0 0 0 0 -1.84873 100 30 -0.256352 100 28 0 0 0 0 0 0 0 0
3000 -222.75 -1.50939 100 25 0 0 0 0 0 0 0 0 0 -1.65981 100 25 -0.90866 100 24 0 0 0 0 0 0 0 0
3100 -223.11 -0.846418 100 22 0 0 0 0 0 0 0 0 0 -1.844 100 18 -0.179996 100 22 0 0 0 0 0 0 0 0
3200 -222.874 -0.795231 100 22 0 0 0 0 0 0 0 0 0 -2.03678 100 17 -0.321985 100 25 0 0 0 0 0 0 0 0
3300 -223.894 -0.441536 100 25 0 0 0 0 0 0 0 0 0 -2.09292 100 29 -0.0151602 100 26 0 0 0 0 0 0 0 0
3400 -223.2 -0.517048 100 25 0 0 0 0 0 0 0 0 0 -1.58928 100 28 -0.812962 100 25 0 0 0 0 0 0 0 0
3500 -222.025 -0.737957 100 24 0 0 0 0 0 0 0 0 0 -1.87704 100 31 -0.653044 100 32 0 0 0 0 0 0 0 0
3600 -222.458 -0.570904 100 21 0 0 0 0 0 0 0 0 0 -1.86977 100 24 -0.331061 100 24 0 0 0 0 0 0 0 0
3700 -223.141 -1.07843 100 24 0 0 0 0 0 0 0 0 0 -1.39787 100 21 -0.857494 100 30 0 0 0 0 0 0 0 0
3800 -222.952 -1.09685 100 22 0 0 0 0 0 0 0 0 0 -1.44406 100 35 -1.23377 100 18 0 0 0 0 0 0 0 0
3900 -222.608 -1.49503 100 22 0 0 0 0 0 0 0 0 0 -1.52574 100 27 -0.796116 100 24 0 0 0 0 0 0 0 0
4000 -223.353 -1.73221 100 29 0 0 0 0 0 0 0 0 0 -1.49995 100 22 -1.00447 100 22 0 0 0 0 0 0 0 0
4100 -225.719 -0.153613 100 31 0 0 0 0 0 0 0 0 0 -2.23988 100 25 0.203067 100 20 0 0 0 0 0 0 0 0
4200 -222.277 -0.723391 100 28 0 0 0 0 0 0 0 0 0 -1.95683 100 21 -0.459078 100 23 0 0 0 0 0 0 0 0
4300 -224.284 -1.8788 100 27 0 0 0 0 0 0 0 0 0 -1.67273 100 27 -0.890054 100 29 0 0 0 0 0 0 0 0
4400 -222.557 -1.02877 100 22 0 0 0 0 0 0 0 0 0 -1.6845 100 37 -1.11466 100 27 0 0 0 0 0 0 0 0
4500 -221.86 -1.20297 100 21 0 0 0 0 0 0 0 0 0 -1.67496 100 36 -0.736774 100 22 0 0 0 0 0 0 0 0
4600 -225.496 -0.555421 100 26 0 0 0 0 0 0 0 0 0 -2.34119 100 27 -0.110651 100 21 0 0 0 0 0 0 0 0
4700 -222.107 -0.946076 100 26 0 0 0 0 0 0 0 0 0 -1.80102 100 23 -0.844738 100 22 0 0 0 0 0 0 0 0
4800 -222.505 -0.618486 100 21 0 0 0 0 0 0 0 0 0 -1.8011 100 22 -0.914151 100 27 0 0 0 0 0 0 0 0
4900 -224.157 -1.54683 100 25 0 0 0 0 0 0 0 0 0 -1.35964 100 25 -1.40827 100 28 0 0 0 0 0 0 0 0
5000 -223.1 -0.797938 100 29 0 0 0 0 0 0 0 0 0 -1.45599 100 18 -0.962746 100 23 0 0 0 0 0 0 0 0
5100 -224.782 -0.173869 100 20 0 0 0 0 0 0 0 0 0 -1.91807 100 29 -0.949137 100 23 0 0 0 0 0 0 0 0
5200 -222.855 -0.946794 100 26 0 0 0 0 0 0 0 0 0 -1.78584 100 18 -0.26057 100 23 0 0 0 0 0 0 0 0
5300 -223.615 -1.25973 100 25 0 0 0 0 0 0 0 0 0 -1.92275 100 17 -0.783264 100 23 0 0 0 0 0 0 0 0
5400 -222.394 -1.4327 100 26 0 0 0 0 0 0 0 0 0 -1.53259 100 30 -0.838476 100 26 0 0 0 0 0 0 0 0
5500 -224.534 -0.123006 100 31 0 0 0 0 0 0 0 0 0 -1.85199 100 25 -0.336029 100 22 0 0 0 0 0 0 0 0
5600 -223.016 -1.26325 100 17 0 0 0 0 0 0 0 0 0 -1.37533 100 25 -1.014 100 26 0 0 0 0 0 0 0 0
5700 -222.11 -1.31651 100 28 0 0 0 0 0 0 0 0 0 -1.55485 100 24 -0.877895 100 22 0 0 0 0 0 0 0 0
5800 -223.716 -0.295207 100 31 0 0 0 0 0 0 0 0 0 -1.72357 100 26 -0.834028 100 30 0 0 0 0 0 0 0 0
5900 -221.822 -1.134 100 27 0 0 0 0 0 0 0 0 0 -1.64754 100 34 -0.869927 100 31 0 0 0 0 0 0 0 0
6000 -222.366 -0.70178 100 24 0 0 0 0 0 0 0 0 0 -1.75745 100 39 -0.957414 100 27 0 0 0 0 0 0 0 0
6100 -223.676 -1.01142 100 27 0 0 0 0 0 0 0 0 0 -2.07862 100 32 -0.33045 100 28 0 0 0 0 0 0 0 0
6200 -222.959 -1.35506 100 22 0 0 0 0 0 0 0 0 0 -1.74746 100 27 -0.973017 100 23 0 0 0 0 0 0 0 0
6300 -222.719 -1.15549 100 32 0 0 0 0 0 0 0 0 0 -1.52516 100 13 -0.599475 100 30 0 0 0 0 0 0 0 0
6400 -227.586 -1.894 100 22 0 0 0 0 0 0 0 0 0 -1.62686 100 22 -1.59785 100 19 0 0 0 0 0 0 0 0
6500 -226.918 -0.316155 100 22 0 0 0 0 0 0 0 0 0 -1.7287 100 16 -0.059083 100 18 0 0 0 0 0 0 0 0
6600 -226.012 0.0806312 100 24 0 0 0 0 0 0 0 0 0 -2.07707 100 32 0.000950814 100 23 0 0 0 0 0 0 0 0
6700 -223.16 -1.39328 100 24 0 0 0 0 0 0 0 0 0 -1.38025 100 25 -1.17899 100 28 0 0 0 0 0 0 0 0
6800 -222.34 -1.1185 100 24 0 0 0 0 0 0 0 0 0 -1.66584 100 17 -1.06257 100 23 0 0 0 0 0 0 0 0
6900 -224.366 -0.268622 100 20 0 0 0 0 0 0 0 0 0 -1.65869 100 28 -0.677767 100 27 0 0 0 0 0 0 0 0
7000 -222.151 -1.10455 100 25 0 0 0 0 0 0 0 0 0 -1.67636 100 29 -0.507966 100 25 0 0 0 0 0 0 0 0
7100 -224.06 -0.143603 100 30 0 0 0 0 0 0 0 0 0 -1.84905 100 28 -0.468955 100 19 0 0 0 0 0 0 0 0
7200 -221.935 -1.2484 100 30 0 0 0 0 0 0 0 0 0 -1.66769 100 20 -0.744017 100 25 0 0 0 0 0 0 0 0
7300 -222.923 -0.76344 100 27 0 0 0 0 0 0 0 0 0 -1.9754 100 31 -0.731578 100 21 0 0 0 0 0 0 0 0
7400 -222.797 -0.595197 100 27 0 0 0 0 0 0 0 0 0 -1.77581 100 34 -0.329144 100 21 0 0 0 0 0 0 0 0
7500 -222.269 -0.659603 100 25 0 0 0 0 0 0 0 0 0 -1.69836 100 29 -0.923173 100 27 0 0 0 0 0 0 0 0
7600 -224.032 -0.843366 100 25 0 0 0 0 0 0 0 0 0 -2.07705 100 28 -0.696522 100 25 0 0 0 0 0 0 0 0
7700 -222.937 -1.29741 100 22 0 0 0 0 0 0 0 0 0 -1.43973 100 19 -1.22702 100 26 0 0 0 0 0 0 0 0
7800 -222.554 -1.0409 100 25 0 0 0 0 0 0 0 0 0 -1.92799 100 36 -0.423959 100 16 0 0 0 0 0 0 0 0
7900 -222.634 -0.770263 100 21 0 0 0 0 0 0 0 0 0 -1.82012 100 30 -0.969366 100 31 0 0 0 0 0 0 0 0
8000 -222.081 -0.951465 100 24 0 0 0 0 0 0 0 0 0 -1.87696 100 27 -0.584327 100 24 0 0 0 0 0 0 0 0
8100 -224.44 -0.70037 100 31 0 0 0 0 0 0 0 0 0 -1.42358 100 21 -1.28297 100 26 0 0 0 0 0 0 0 0
8200 -222.04 -1.13031 100 27 0 0 0 0 0 0 0 0 0 -1.52845 100 30 -0.842169 100 15 0 0 0 0 0 0 0 0
8300 -222.614 -1.36662 100 14 0 0 0 0 0 0 0 0 0 -1.76934 100 27 -0.773572 100 27 0 0 0 0 0 0 0 0
8400 -228.78 -0.436254 100 21 0 0 0 0 0 0 0 0 0 -2.0565 100 24 -1.44121 100 30 0 0 0 0 0 0 0 0
8500 -221.813 -1.13979 100 34 0 0 0 0 0 0 0 0 0 -1.60555 100 26 -0.851987 100 26 0 0 0 0 0 0 0 0
8600 -221.981 -0.913239 100 31 0 0 0 0 0 0 0 0 0 -1.86735 100 29 -0.544396 100 28 0 0 0 0 0 0 0 0
8700 -222.501 -0.595064 100 19 0 0 0 0 0 0 0 0 0 -1.73422 100 31 -0.938663 100 31 0 0 0 0 0 0 0 0
8800 -222.861 -0.680993 100 31 0 0 0 0 0 0 0 0 0 -1.64954 100 30 -1.11558 100 19 0 0 0 0 0 0 0 0
8900 -222.552 -1.03234 100 34 0 0 0 0 0 0 0 0 0 -1.55792 100 30 -0.575756 100 25 0 0 0 0 0 0 0 0
9000 -222.474 -1.08556 100 16 0 0 0 0 0 0 0 0 0 -1.74576 100 23 -0.37822 100 22 0 0 0 0 0 0 0 0
9100 -222.782 -0.790288 100 24 0 0 0 0 0 0 0 0 0 -1.56077 100 31 -0.601843 100 20 0 0 0 0 0 0 0 0
