iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -642.067 1.84003 0 0 0 0 0 0 0 0 0 0 0 -7.96793 0 0 4.81507 0 0 0 0 0 0 0 0 0 0
100 -306.52 -4.23625 100 50 0 0 0 0 0 0 0 0 0 -1.66154 100 28 -1.18739 100 37 0 0 0 0 0 0 0 0
200 -307.193 -2.25854 100 44 0 0 0 0 0 0 0 0 0 -1.649 100 16 0.00770063 100 32 0 0 0 0 0 0 0 0
300 -305.731 -0.973987 100 50 0 0 0 0 0 0 0 0 0 -1.49581 100 14 -1.12381 100 31 0 0 0 0 0 0 0 0
400 -306.775 -4.72533 100 47 0 0 0 0 0 0 0 0 0 -1.46604 100 22 -1.10197 100 33 0 0 0 0 0 0 0 0
500 -303.414 -2.38334 100 46 0 0 0 0 0 0 0 0 0 -1.49894 100 27 -1.04769 100 28 0 0 0 0 0 0 0 0
600 -307.344 -1.13935 100 41 0 0 0 0 0 0 0 0 0 -1.93297 100 22 -0.78681 100 37 0 0 0 0 0 0 0 0
700 -306.234 -3.76595 100 44 0 0 0 0 0 0 0 0 0 -1.76208 100 21 -0.831294 100 32 0 0 0 0 0 0 0 0
800 -303.847 -3.06344 100 40 0 0 0 0 0 0 0 0 0 -1.55496 100 20 -0.959879 100 29 0 0 0 0 0 0 0 0
900 -303.616 -1.62345 100 38 0 0 0 0 0 0 0 0 0 -1.52134 100 22 -0.915091 100 37 0 0 0 0 0 0 0 0
1000 -303.231 -2.00806 100 48 0 0 0 0 0 0 0 0 0 -1.54245 100 22 -0.989051 100 32 0 0 0 0 0 0 0 0
1100 -303.19 -2.00782 100 55 0 0 0 0 0 0 0 0 0 -1.58866 100 15 -0.944435 100 31 0 0 0 0 0 0 0 0
1200 -304.682 -2.87703 100 46 0 0 0 0 0 0 0 0 0 -1.55951 100 18 -1.48319 100 36 0 0 0 0 0 0 0 0
1300 -304.272 -2.09087 100 38 0 0 0 0 0 0 0 0 0 -1.72418 100 21 -0.443053 100 33 0 0 0 0 0 0 0 0
1400 -305.718 -3.03378 100 44 0 0 0 0 0 0 0 0 0 -1.32573 100 23 -1.27689 100 36 0 0 0 0 0 0 0 0
1500 -305.354 -1.70577 100 45 0 0 0 0 0 0 0 0 0 -1.36203 100 23 -1.34715 100 38 0 0 0 0 0 0 0 0
1600 -304.634 -3.34128 100 52 0 0 0 0 0 0 0 0 0 -1.58834 100 18 -1.22209 100 31 0 0 0 0 0 0 0 0
1700 -303.747 -2.90596 100 44 0 0 0 0 0 0 0 0 0 -1.57853 100 18 -1.04313 100 34 0 0 0 0 0 0 0 0
1800 -304.768 -2.77537 100 33 0 0 0 0 0 0 0 0 0 -1.72444 100 17 -1.10488 100 37 0 0 0 0 0 0 0 0
1900 -303.549 -2.26963 100 45 0 0 0 0 0 0 0 0 0 -1.67583 100 21 -0.877316 100 29 0 0 0 0 0 0 0 0
2000 -303.909 -2.89312 100 37 0 0 0 0 0 0 0 0 0 -1.5002 100 17 -0.794537 100 25 0 0 0 0 0 0 0 0
2100 -303.343 -2.15406 100 44 0 0 0 0 0 0 0 0 0 -1.63616 100 15 -0.731288 100 35 0 0 0 0 0 0 0 0
2200 -304.238 -2.38586 100 41 0 0 0 0 0 0 0 0 0 -1.63978 100 21 -1.33866 100 37 0 0 0 0 0 0 0 0
2300 -305.146 -2.41912 100 41 0 0 0 0 0 0 0 0 0 -1.3412 100 24 -0.975846 100 30 0 0 0 0 0 0 0 0
2400 -304.207 -2.29734 100 51 0 0 0 0 0 0 0 0 0 -1.48859 100 25 -1.47071 100 38 0 0 0 0 0 0 0 0
2500 -307.105 -2.01488 100 45 0 0 0 0 0 0 0 0 0 -1.47738 100 26 -2.12736 100 37 0 0 0 0 0 0 0 0
2600 -304.212 -2.36895 100 34 0 0 0 0 0 0 0 0 0 -1.5856 100 23 -1.43335 100 39 0 0 0 0 0 0 0 0
2700 -303.582 -2.12239 100 40 0 0 0 0 0 0 0 0 0 -1.69079 100 21 -0.830449 100 26 0 0 0 0 0 0 0 0
2800 -305.127 -3.49961 100 40 0 0 0 0 0 0 0 0 0 -1.53127 100 21 -0.566423 100 29 0 0 0 0 0 0 0 0
2900 -303.384 -2.0286 100 47 0 0 0 0 0 0 0 0 0 -1.65934 100 17 -0.867802 100 30 0 0 0 0 0 0 0 0
3000 -304.163 -2.78385 100 39 0 0 0 0 0 0 0 0 0 -1.70417 100 20 -0.796169 100 31 0 0 0 0 0 0 0 0
3100 -306.145 -0.948646 100 39 0 0 0 0 0 0 0 0 0 -1.48588 100 23 -0.750906 100 33 0 0 0 0 0 0 0 0
3200 -306.077 -4.32696 100 48 0 0 0 0 0 0 0 0 0 -1.58692 100 24 -1.14018 100 30 0 0 0 0 0 0 0 0
3300 -304.898 -1.8833 100 35 0 0 0 0 0 0 0 0 0 -1.36746 100 19 -0.989194 100 37 0 0 0 0 0 0 0 0
3400 -303.76 -2.86781 100 47 0 0 0 0 0 0 0 0 0 -1.62359 100 21 -0.913575 100 37 0 0 0 0 0 0 0 0
3500 -304.371 -1.65938 100 41 0 0 0 0 0 0 0 0 0 -1.71813 100 21 -1.14247 100 31 0 0 0 0 0 0 0 0
3600 -306.016 -4.36358 100 36 0 0 0 0 0 0 0 0 0 -1.51294 100 22 -1.13447 100 33 0 0 0 0 0 0 0 0
3700 -304.541 -1.35819 100 42 0 0 0 0 0 0 0 0 0 -1.74305 100 18 -0.938152 100 18 0 0 0 0 0 0 0 0
3800 -306.604 -2.88274 100 45 0 0 0 0 0 0 0 0 0 -1.27474 100 14 -1.04325 100 43 0 0 0 0 0 0 0 0
3900 -306.245 -1.69585 100 39 0 0 0 0 0 0 0 0 0 -1.74081 100 17 -1.59123 100 31 0 0 0 0 0 0 0 0
4000 -303.417 -2.48453 100 40 0 0 0 0 0 0 0 0 0 -1.505 100 22 -0.975155 100 34 0 0 0 0 0 0 0 0
4100 -304.445 -1.58623 100 48 0 0 0 0 0 0 0 0 0 -1.42803 100 18 -1.07022 100 26 0 0 0 0 0 0 0 0
4200 -304.674 -2.56597 100 38 0 0 0 0 0 0 0 0 0 -1.38385 100 20 -1.33762 100 31 0 0 0 0 0 0 0 0
4300 -305.708 -2.60531 100 45 0 0 0 0 0 0 0 0 0 -1.6799 100 20 -0.181281 100 38 0 0 0 0 0 0 0 0
4400 -303.193 -1.98602 100 54 0 0 0 0 0 0 0 0 0 -1.5867 100 13 -0.944538 100 41 0 0 0 0 0 0 0 0
4500 -304.568 -2.72939 100 46 0 0 0 0 0 0 0 0 0 -1.72532 100 23 -1.02983 100 27 0 0 0 0 0 0 0 0
4600 -306.543 -3.46283 100 46 0 0 0 0 0 0 0 0 0 -1.30499 100 25 -1.24856 100 29 0 0 0 0 0 0 0 0
4700 -303.847 -2.68507 100 48 0 0 0 0 0 0 0 0 0 -1.66807 100 22 -0.694735 100 35 0 0 0 0 0 0 0 0
4800 -308.444 -0.430835 100 33 0 0 0 0 0 0 0 0 0 -1.59945 100 21 -1.08596 100 38 0 0 0 0 0 0 0 0
4900 -303.372 -2.35041 100 45 0 0 0 0 0 0 0 0 0 -1.63827 100 18 -0.863349 100 28 0 0 0 0 0 0 0 0
5000 -304.857 -3.0088 100 47 0 0 0 0 0 0 0 0 0 -1.37948 100 21 -1.07939 100 32 0 0 0 0 0 0 0 0
5100 -305.238 -2.81975 100 46 0 0 0 0 0 0 0 0 0 -1.40336 100 16 -0.653445 100 29 0 0 0 0 0 0 0 0
5200 -304.82 -2.35391 100 34 0 0 0 0 0 0 0 0 0 -1.5268 100 22 -1.64607 100 30 0 0 0 0 0 0 0 0
5300 -304.073 -1.61216 100 36 0 0 0 0 0 0 0 0 0 -1.50781 100 16 -1.29727 100 40 0 0 0 0 0 0 0 0
5400 -303.892 -1.61249 100 37 0 0 0 0 0 0 0 0 0 -1.52073 100 23 -1.23054 100 43 0 0 0 0 0 0 0 0
