iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -3.26265e+08 14.2591 0 0 0 0 0 0 0 0 0 0 0 0.93257 0 0 -1.78712 0 0 0 0 0 0 0 0 0 0
100 -282.484 -2.92582 100 41 0 0 0 0 0 0 0 0 0 -1.66108 100 23 -0.773691 100 31 0 0 0 0 0 0 0 0
200 -281.161 -1.92896 100 44 0 0 0 0 0 0 0 0 0 -1.5828 100 22 -1.38611 100 23 0 0 0 0 0 0 0 0
300 -283.622 -2.28822 100 43 0 0 0 0 0 0 0 0 0 -1.7965 100 18 -1.31075 100 29 0 0 0 0 0 0 0 0
400 -281.079 -2.06424 100 39 0 0 0 0 0 0 0 0 0 -1.44994 100 25 -0.901101 100 28 0 0 0 0 0 0 0 0
500 -281.388 -1.16241 100 37 0 0 0 0 0 0 0 0 0 -1.49735 100 21 -1.04565 100 29 0 0 0 0 0 0 0 0
600 -281.879 -2.89979 100 39 0 0 0 0 0 0 0 0 0 -1.47205 100 17 -1.08652 100 25 0 0 0 0 0 0 0 0
700 -280.71 -2.04259 100 41 0 0 0 0 0 0 0 0 0 -1.58977 100 17 -0.855933 100 36 0 0 0 0 0 0 0 0
800 -285.672 -3.63315 100 44 0 0 0 0 0 0 0 0 0 -1.80318 100 21 -0.858201 100 28 0 0 0 0 0 0 0 0
900 -282.124 -0.89244 100 34 0 0 0 0 0 0 0 0 0 -1.58108 100 18 -1.20906 100 41 0 0 0 0 0 0 0 0
1000 -281.604 -2.68331 100 35 0 0 0 0 0 0 0 0 0 -1.45831 100 24 -1.24914 100 31 0 0 0 0 0 0 0 0
1100 -280.948 -1.31741 100 33 0 0 0 0 0 0 0 0 0 -1.59114 100 12 -1.17709 100 28 0 0 0 0 0 0 0 0
1200 -280.936 -1.92719 100 35 0 0 0 0 0 0 0 0 0 -1.57342 100 20 -1.31761 100 33 0 0 0 0 0 0 0 0
1300 -284.396 -2.18353 100 44 0 0 0 0 0 0 0 0 0 -1.19495 100 14 -1.48064 100 31 0 0 0 0 0 0 0 0
1400 -281.165 -1.23931 100 35 0 0 0 0 0 0 0 0 0 -1.63071 100 21 -1.16628 100 36 0 0 0 0 0 0 0 0
1500 -281.432 -2.41057 100 37 0 0 0 0 0 0 0 0 0 -1.58579 100 20 -1.29283 100 27 0 0 0 0 0 0 0 0
1600 -281.376 -2.16581 100 31 0 0 0 0 0 0 0 0 0 -1.52222 100 18 -0.684112 100 36 0 0 0 0 0 0 0 0
1700 -282.28 -1.80732 100 32 0 0 0 0 0 0 0 0 0 -1.32567 100 21 -1.02473 100 31 0 0 0 0 0 0 0 0
1800 -282.897 -1.38457 100 34 0 0 0 0 0 0 0 0 0 -1.3707 100 25 -1.68097 100 48 0 0 0 0 0 0 0 0
1900 -281.46 -1.58451 100 43 0 0 0 0 0 0 0 0 0 -1.42661 100 24 -1.44662 100 29 0 0 0 0 0 0 0 0
2000 -280.586 -1.60974 100 47 0 0 0 0 0 0 0 0 0 -1.52014 100 22 -1.12406 100 26 0 0 0 0 0 0 0 0
2100 -281.561 -2.76775 100 41 0 0 0 0 0 0 0 0 0 -1.52357 100 17 -1.02411 100 27 0 0 0 0 0 0 0 0
2200 -281.327 -2.55325 100 47 0 0 0 0 0 0 0 0 0 -1.46657 100 25 -1.20067 100 37 0 0 0 0 0 0 0 0
2300 -281.746 -1.49076 100 31 0 0 0 0 0 0 0 0 0 -1.68222 100 20 -1.36095 100 35 0 0 0 0 0 0 0 0
2400 -282.123 -0.885497 100 33 0 0 0 0 0 0 0 0 0 -1.72332 100 27 -0.899533 100 29 0 0 0 0 0 0 0 0
