iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -2.57322e+06 11.248 0 0 0 0 0 0 0 0 0 0 0 -0.269299 0 0 -4.12084 0 0 0 0 0 0 0 0 0 0
100 -213.387 -2.80575 100 47 0 0 0 0 0 0 0 0 0 -1.79558 100 29 -0.195498 100 21 0 0 0 0 0 0 0 0
200 -215.152 -3.10373 100 38 0 0 0 0 0 0 0 0 0 -1.90853 100 32 0.0691214 100 19 0 0 0 0 0 0 0 0
300 -211.966 -1.78211 100 41 0 0 0 0 0 0 0 0 0 -1.76415 100 28 -0.666246 100 24 0 0 0 0 0 0 0 0
400 -212.279 -1.07377 100 33 0 0 0 0 0 0 0 0 0 -1.65638 100 36 -0.860273 100 22 0 0 0 0 0 0 0 0
500 -213.64 -1.656 100 43 0 0 0 0 0 0 0 0 0 -1.37238 100 20 -0.994403 100 25 0 0 0 0 0 0 0 0
600 -214.517 -1.8355 100 43 0 0 0 0 0 0 0 0 0 -1.33122 100 18 -0.630722 100 14 0 0 0 0 0 0 0 0
700 -212.676 -1.39552 100 42 0 0 0 0 0 0 0 0 0 -1.50041 100 28 -0.950667 100 29 0 0 0 0 0 0 0 0
800 -215.123 -0.356128 100 35 0 0 0 0 0 0 0 0 0 -1.62911 100 31 -1.11876 100 23 0 0 0 0 0 0 0 0
900 -213.346 -1.19408 100 43 0 0 0 0 0 0 0 0 0 -1.75389 100 26 0.00721401 100 26 0 0 0 0 0 0 0 0
1000 -214.415 0.0443076 100 40 0 0 0 0 0 0 0 0 0 -1.83099 100 29 -0.302213 100 23 0 0 0 0 0 0 0 0
1100 -213.623 -0.8358 100 49 0 0 0 0 0 0 0 0 0 -1.46351 100 30 -0.582277 100 16 0 0 0 0 0 0 0 0
1200 -213.555 -0.632911 100 50 0 0 0 0 0 0 0 0 0 -2.1003 100 25 -0.341754 100 25 0 0 0 0 0 0 0 0
1300 -212.593 -1.77642 100 41 0 0 0 0 0 0 0 0 0 -1.4934 100 31 -0.910806 100 14 0 0 0 0 0 0 0 0
1400 -211.913 -0.815505 100 38 0 0 0 0 0 0 0 0 0 -1.86599 100 28 -0.398439 100 30 0 0 0 0 0 0 0 0
1500 -214.869 -0.0940628 100 44 0 0 0 0 0 0 0 0 0 -2.16845 100 25 -0.247599 100 26 0 0 0 0 0 0 0 0
1600 -213.506 -1.17355 100 51 0 0 0 0 0 0 0 0 0 -1.98913 100 28 0.159859 100 27 0 0 0 0 0 0 0 0
1700 -211.84 -1.31837 100 35 0 0 0 0 0 0 0 0 0 -1.76374 100 25 -0.240674 100 23 0 0 0 0 0 0 0 0
1800 -212.22 -0.70393 100 39 0 0 0 0 0 0 0 0 0 -1.72669 100 21 -0.332795 100 29 0 0 0 0 0 0 0 0
1900 -212.999 -2.75586 100 47 0 0 0 0 0 0 0 0 0 -1.6641 100 25 -0.753544 100 25 0 0 0 0 0 0 0 0
2000 -212.786 -1.32811 100 52 0 0 0 0 0 0 0 0 0 -1.71891 100 24 -0.9636 100 23 0 0 0 0 0 0 0 0
2100 -212.381 -0.659504 100 46 0 0 0 0 0 0 0 0 0 -1.81355 100 34 -0.191699 100 29 0 0 0 0 0 0 0 0
2200 -212.445 -1.39339 100 43 0 0 0 0 0 0 0 0 0 -1.54927 100 21 -0.932743 100 24 0 0 0 0 0 0 0 0
2300 -212.007 -2.01867 100 36 0 0 0 0 0 0 0 0 0 -1.66294 100 20 -0.712388 100 30 0 0 0 0 0 0 0 0
2400 -213.544 -2.9025 100 42 0 0 0 0 0 0 0 0 0 -1.51328 100 23 -0.555276 100 19 0 0 0 0 0 0 0 0
2500 -213.264 -2.52059 100 48 0 0 0 0 0 0 0 0 0 -1.93763 100 26 -0.329116 100 29 0 0 0 0 0 0 0 0
2600 -213.536 -3.22493 100 53 0 0 0 0 0 0 0 0 0 -1.73739 100 19 -0.468156 100 28 0 0 0 0 0 0 0 0
2700 -212.875 -2.39806 100 48 0 0 0 0 0 0 0 0 0 -1.57946 100 30 -0.90454 100 29 0 0 0 0 0 0 0 0
2800 -212.332 -0.631167 100 45 0 0 0 0 0 0 0 0 0 -1.70092 100 24 -0.627669 100 28 0 0 0 0 0 0 0 0
2900 -211.831 -1.38817 100 43 0 0 0 0 0 0 0 0 0 -1.64218 100 33 -0.402059 100 18 0 0 0 0 0 0 0 0
3000 -213.74 -0.209383 100 46 0 0 0 0 0 0 0 0 0 -1.99181 100 31 -0.458547 100 23 0 0 0 0 0 0 0 0
3100 -211.962 -1.39773 100 39 0 0 0 0 0 0 0 0 0 -1.56407 100 27 -0.574589 100 16 0 0 0 0 0 0 0 0
3200 -215.533 -3.47904 100 45 0 0 0 0 0 0 0 0 0 -1.91317 100 21 -0.673472 100 23 0 0 0 0 0 0 0 0
3300 -215.932 -4.25609 100 55 0 0 0 0 0 0 0 0 0 -1.4813 100 24 -0.837996 100 22 0 0 0 0 0 0 0 0
3400 -214.316 -3.21991 100 48 0 0 0 0 0 0 0 0 0 -1.79888 100 29 -0.133786 100 27 0 0 0 0 0 0 0 0
3500 -213.934 -0.0559979 100 32 0 0 0 0 0 0 0 0 0 -1.97316 100 30 -0.138372 100 28 0 0 0 0 0 0 0 0
3600 -212.445 -2.26249 100 43 0 0 0 0 0 0 0 0 0 -1.5489 100 29 -0.585238 100 31 0 0 0 0 0 0 0 0
3700 -211.817 -0.925752 100 33 0 0 0 0 0 0 0 0 0 -1.67888 100 25 -0.581292 100 22 0 0 0 0 0 0 0 0
3800 -212.005 -0.696053 100 46 0 0 0 0 0 0 0 0 0 -1.82879 100 30 -0.34088 100 24 0 0 0 0 0 0 0 0
3900 -213.863 -0.229192 100 57 0 0 0 0 0 0 0 0 0 -1.67584 100 24 -0.39552 100 22 0 0 0 0 0 0 0 0
4000 -211.9 -1.23688 100 34 0 0 0 0 0 0 0 0 0 -1.66791 100 22 -0.344577 100 30 0 0 0 0 0 0 0 0
4100 -212.091 -2.16921 100 47 0 0 0 0 0 0 0 0 0 -1.76605 100 27 -0.372749 100 23 0 0 0 0 0 0 0 0
4200 -212.329 -0.993887 100 33 0 0 0 0 0 0 0 0 0 -1.55806 100 24 -0.746021 100 22 0 0 0 0 0 0 0 0
4300 -211.833 -1.41073 100 47 0 0 0 0 0 0 0 0 0 -1.791 100 25 -0.228879 100 24 0 0 0 0 0 0 0 0
4400 -211.835 -1.06848 100 44 0 0 0 0 0 0 0 0 0 -1.88105 100 30 -0.42807 100 17 0 0 0 0 0 0 0 0
4500 -213.224 -1.16855 100 49 0 0 0 0 0 0 0 0 0 -2.10631 100 22 -0.202884 100 25 0 0 0 0 0 0 0 0
4600 -212.224 -1.42897 100 43 0 0 0 0 0 0 0 0 0 -1.93965 100 32 -0.42403 100 17 0 0 0 0 0 0 0 0
4700 -212.423 -0.549137 100 47 0 0 0 0 0 0 0 0 0 -1.83591 100 28 -0.23189 100 26 0 0 0 0 0 0 0 0
4800 -211.585 -1.41025 100 44 0 0 0 0 0 0 0 0 0 -1.79928 100 32 -0.489982 100 34 0 0 0 0 0 0 0 0
4900 -212.622 -1.5224 100 50 0 0 0 0 0 0 0 0 0 -1.46923 100 17 -0.639139 100 14 0 0 0 0 0 0 0 0
5000 -211.863 -1.82726 100 41 0 0 0 0 0 0 0 0 0 -1.80045 100 23 -0.313124 100 22 0 0 0 0 0 0 0 0
5100 -212.516 -0.498282 100 45 0 0 0 0 0 0 0 0 0 -1.72694 100 27 -0.533635 100 26 0 0 0 0 0 0 0 0
5200 -213.987 -2.99987 100 47 0 0 0 0 0 0 0 0 0 -1.91548 100 23 -0.176983 100 26 0 0 0 0 0 0 0 0
