iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -6.48004e+18 -1.73647 0 0 0 0 0 0 0 0 0 0 0 24.8506 0 0 13.6203 0 0 0 0 0 0 0 0 0 0
100 -162.184 -1.48564 100 58 0 0 0 0 0 0 0 0 0 -1.46258 100 54 -0.844921 100 56 0 0 0 0 0 0 0 0
200 -162.518 -1.3717 100 61 0 0 0 0 0 0 0 0 0 -1.37263 100 27 -1.89333 100 29 0 0 0 0 0 0 0 0
300 -160.984 -1.88449 100 49 0 0 0 0 0 0 0 0 0 -1.47982 100 31 -1.38889 100 22 0 0 0 0 0 0 0 0
400 -165.221 -3.77792 100 52 0 0 0 0 0 0 0 0 0 -1.99563 100 39 -0.254704 100 26 0 0 0 0 0 0 0 0
500 -165.558 -3.95063 100 50 0 0 0 0 0 0 0 0 0 -2.13618 100 35 -0.43172 100 36 0 0 0 0 0 0 0 0
600 -166.435 -2.94678 100 53 0 0 0 0 0 0 0 0 0 -1.83624 100 25 -2.18746 100 29 0 0 0 0 0 0 0 0
700 -161.642 -3.48329 100 55 0 0 0 0 0 0 0 0 0 -1.44431 100 33 -1.35333 100 37 0 0 0 0 0 0 0 0
800 -162.41 -2.77741 100 59 0 0 0 0 0 0 0 0 0 -1.41061 100 34 -0.869526 100 29 0 0 0 0 0 0 0 0
900 -160.898 -1.92406 100 49 0 0 0 0 0 0 0 0 0 -1.59903 100 36 -1.0962 100 29 0 0 0 0 0 0 0 0
1000 -161.652 -1.95121 100 59 0 0 0 0 0 0 0 0 0 -1.82992 100 32 -1.07067 100 28 0 0 0 0 0 0 0 0
1100 -161.797 -1.03655 100 48 0 0 0 0 0 0 0 0 0 -1.47236 100 34 -1.43544 100 28 0 0 0 0 0 0 0 0
1200 -163.729 -2.69641 100 60 0 0 0 0 0 0 0 0 0 -1.92439 100 26 -1.45142 100 29 0 0 0 0 0 0 0 0
1300 -161.911 -1.62976 100 60 0 0 0 0 0 0 0 0 0 -1.43164 100 32 -0.938433 100 30 0 0 0 0 0 0 0 0
1400 -163.22 -3.38875 100 46 0 0 0 0 0 0 0 0 0 -1.42047 100 32 -2.0559 100 27 0 0 0 0 0 0 0 0
1500 -162.737 -2.09577 100 56 0 0 0 0 0 0 0 0 0 -1.38804 100 26 -2.07542 100 35 0 0 0 0 0 0 0 0
1600 -161.324 -2.64098 100 64 0 0 0 0 0 0 0 0 0 -1.70538 100 35 -1.03698 100 31 0 0 0 0 0 0 0 0
1700 -161.074 -1.55005 100 52 0 0 0 0 0 0 0 0 0 -1.50477 100 37 -1.36666 100 43 0 0 0 0 0 0 0 0
1800 -161.033 -1.98188 100 54 0 0 0 0 0 0 0 0 0 -1.49964 100 32 -1.09326 100 20 0 0 0 0 0 0 0 0
1900 -162.396 -1.97762 100 56 0 0 0 0 0 0 0 0 0 -1.29151 100 37 -1.9161 100 33 0 0 0 0 0 0 0 0
2000 -161.232 -2.78038 100 56 0 0 0 0 0 0 0 0 0 -1.61414 100 35 -1.02989 100 31 0 0 0 0 0 0 0 0
2100 -163.486 -2.72723 100 55 0 0 0 0 0 0 0 0 0 -1.18215 100 34 -2.09051 100 26 0 0 0 0 0 0 0 0
2200 -162.065 -1.59027 100 55 0 0 0 0 0 0 0 0 0 -1.4114 100 25 -1.83637 100 24 0 0 0 0 0 0 0 0
2300 -162.565 -1.21801 100 64 0 0 0 0 0 0 0 0 0 -1.3073 100 33 -1.23478 100 23 0 0 0 0 0 0 0 0
2400 -162.305 -2.86631 100 63 0 0 0 0 0 0 0 0 0 -1.51872 100 38 -0.757484 100 34 0 0 0 0 0 0 0 0
2500 -163.281 -2.5647 100 50 0 0 0 0 0 0 0 0 0 -1.92293 100 30 -1.34891 100 29 0 0 0 0 0 0 0 0
2600 -162.283 -0.81174 100 53 0 0 0 0 0 0 0 0 0 -1.45732 100 35 -1.28217 100 34 0 0 0 0 0 0 0 0
2700 -162.828 -3.45416 100 60 0 0 0 0 0 0 0 0 0 -1.30811 100 33 -1.06257 100 30 0 0 0 0 0 0 0 0
2800 -162.313 -2.38894 100 52 0 0 0 0 0 0 0 0 0 -1.91386 100 18 -0.975072 100 31 0 0 0 0 0 0 0 0
2900 -161.504 -2.34461 100 52 0 0 0 0 0 0 0 0 0 -1.38495 100 27 -1.12803 100 40 0 0 0 0 0 0 0 0
3000 -162.012 -1.39443 100 56 0 0 0 0 0 0 0 0 0 -1.47698 100 29 -1.77302 100 39 0 0 0 0 0 0 0 0
3100 -164.181 -6.26226 100 62 0 0 0 0 0 0 0 0 0 -1.45008 100 28 -1.36262 100 45 0 0 0 0 0 0 0 0
3200 -162.128 -3.91989 100 44 0 0 0 0 0 0 0 0 0 -1.66035 100 42 -1.11062 100 36 0 0 0 0 0 0 0 0
