iteration logLik intercept1 intercept1_p intercept1_a pcov2 pcov2_p pcov2_a pcov3 pcov3_p pcov3_a pcov4 pcov4_p pcov4_a intercept2 intercept2_p intercept2_a intercept3 intercept3_p intercept3_a intercept4 intercept4_p intercept4_a pcov pcov_p pcov_a data_p data_a
0 -364.023 -1.7043 0 0 0 0 0 0 0 0 0 0 0 -0.463681 0 0 -6.3339 0 0 0 0 0 0 0 0 0 0
100 -275.553 -0.422504 100 19 0 0 0 0 0 0 0 0 0 -1.9809 100 24 -0.683207 100 30 0 0 0 0 0 0 0 0
200 -276.211 -0.559297 100 23 0 0 0 0 0 0 0 0 0 -1.80513 100 21 -0.510401 100 36 0 0 0 0 0 0 0 0
300 -275.691 -0.261703 100 23 0 0 0 0 0 0 0 0 0 -1.94677 100 22 -0.67747 100 33 0 0 0 0 0 0 0 0
400 -275.905 -0.267523 100 22 0 0 0 0 0 0 0 0 0 -1.84338 100 16 -0.899174 100 41 0 0 0 0 0 0 0 0
500 -277.821 -0.306049 100 25 0 0 0 0 0 0 0 0 0 -2.07086 100 25 -1.3471 100 25 0 0 0 0 0 0 0 0
600 -278.303 -1.3541 100 20 0 0 0 0 0 0 0 0 0 -1.71766 100 22 -1.12668 100 41 0 0 0 0 0 0 0 0
700 -277.553 -0.081181 100 19 0 0 0 0 0 0 0 0 0 -1.79424 100 20 -1.03279 100 28 0 0 0 0 0 0 0 0
800 -276.464 -0.433357 100 16 0 0 0 0 0 0 0 0 0 -2.11178 100 24 -0.536486 100 32 0 0 0 0 0 0 0 0
900 -277.806 -1.04325 100 21 0 0 0 0 0 0 0 0 0 -1.82963 100 22 -1.42727 100 33 0 0 0 0 0 0 0 0
1000 -277.895 -0.33209 100 21 0 0 0 0 0 0 0 0 0 -2.00099 100 23 -0.0743748 100 31 0 0 0 0 0 0 0 0
1100 -275.474 -0.663825 100 22 0 0 0 0 0 0 0 0 0 -1.82569 100 20 -0.977913 100 28 0 0 0 0 0 0 0 0
1200 -276.225 -0.636122 100 18 0 0 0 0 0 0 0 0 0 -1.73517 100 24 -1.34124 100 27 0 0 0 0 0 0 0 0
